ensembl_gene_id,min,lowerq,sd,mean,median,upperq,max,total,n_zero
ENSMUSG00000021756,0,0,2.279404222264177,1.726597282601799,1.037351823351725,1.90115842792193,10.0769327476229,1377.8246315162357,258
ENSMUSG00000021759,0,0,2.7725703294151054,1.777077002437094,0.5498509981606441,1.7396725187342477,9.93940877518327,1418.1074479448012,383
ENSMUSG00000021939,0,5.98053722306695,2.627257607694868,7.235076628260105,8.133275234256484,9.073445864378332,11.5360140977696,5773.591149351563,6
ENSMUSG00000022015,0,0,0.4741238017872508,0.22287007235050246,0,0,2.46537705991987,177.85031773570097,626
ENSMUSG00000022037,0,0,1.1881901211769257,0.4468257619331878,0,0.513165242911027,8.92048774371699,356.5669580226839,583
ENSMUSG00000022103,0,0,0.8520874758577628,0.8090217513913848,0.7939220814617415,1.3152342624169326,9.39602954239424,645.5993576103251,307
ENSMUSG00000022225,0,0,0.35116870409791806,0.04235651832574943,0,0,8.54143978157357,33.800501623948044,770
ENSMUSG00000022309,0,2.590684235392782,3.1894069724236425,5.7085262854148855,6.03760763627219,8.612952551082937,11.7246750278334,4555.403975761079,10
ENSMUSG00000022514,0,0,2.359403058044934,1.7886203417634172,0.935697218410587,2.1746309453081474,9.94603442251903,1427.319032727207,282
ENSMUSG00000022636,0,0,2.091561258998545,1.256645562214318,0.45085151243893096,1.399294143130285,9.5172006601712,1002.8031586470257,393
ENSMUSG00000022657,0,0,1.9365410834871248,0.857540974360202,0,0.9037233611694185,9.77275789600036,684.3176975394412,510
ENSMUSG00000022661,0,0,1.1299799858527588,0.3931411481984466,0,0,9.33912242630978,313.7266362623604,600
ENSMUSG00000022667,0,0,1.8240684403168246,0.796585475440297,0,0.8244248205614608,8.87591643306261,635.675209401357,540
ENSMUSG00000022687,0,0,0.4321715399987497,0.10786142817560138,0,0,5.92438662522995,86.0734196841299,726
ENSMUSG00000022797,0,3.0782409555134995,3.2233182243308445,6.194591559431175,6.534675231339345,9.150188852534862,12.3356619793806,4943.284064426078,8
ENSMUSG00000022816,0,0,1.0126731581591333,0.6475438958978954,0,1.11142846655599,8.20490912274881,516.7400289265206,418
ENSMUSG00000022883,0,0,0.7035267233230347,0.46411083272270204,0,0.8978408914603355,7.41987117289262,370.36044451271624,480
ENSMUSG00000022901,0,0,0.7571667916893405,0.2525368432569085,0,0,9.10804406206224,201.524400919013,653
ENSMUSG00000022967,0,1.2318118107831124,2.952574509090385,3.6078272819688513,2.32725458589293,6.777316390630872,9.89829857202172,2879.046171011143,82
ENSMUSG00000023088,0,1.2906706754534625,2.91853490618209,3.7909326697847447,2.782794221248645,6.589762487141227,9.90630578641734,3025.164270488226,86
ENSMUSG00000023132,0,0,0.2669821936826247,0.06309894957302488,0,0,3.02913122003494,50.35296175927385,747
ENSMUSG00000023175,1.3526254007999,8.377006003732674,1.5429043638972522,9.094737286654041,9.233453683476544,10.076688806652324,12.362879076406,7257.600354749925,0
ENSMUSG00000023274,0,0,0.9154051097385456,0.38610943339779796,0,0.6150295663876324,9.10232857911377,308.11532785144277,566
ENSMUSG00000023942,0,3.1482080087356676,2.947735285597573,6.2517610780067105,7.2674390903284145,8.582711951831273,10.8768082001049,4988.905340249355,8
ENSMUSG00000023960,0,0,2.5928334462621367,1.5639965793328328,0,1.5335014807619973,9.6941576401767,1248.0692703076006,410
ENSMUSG00000023961,0,0.4313444132103508,3.3613874564472175,3.4341697396232287,1.7776537765331502,7.2337671618356,10.1384300072807,2740.4674522193363,196
ENSMUSG00000023972,0,0,1.229005506652142,0.4955359363221008,0,0.6308852011322994,7.97099156677431,395.4376771850364,567
ENSMUSG00000024053,0,1.2161177000635202,3.416994958051179,4.537740639849,4.511053540555684,7.899048000140017,10.0744084972008,3621.1170305995024,103
ENSMUSG00000024109,0,1.6535187226659152,2.161436860054902,3.2803178602220973,2.5755942967435947,4.863496485196545,9.68233740614163,2617.693652457234,34
ENSMUSG00000024270,0,0.7861880046072542,3.104790655452838,3.294402856289895,1.904163439068995,6.53676642536709,10.2128366069444,2628.933479319336,146
ENSMUSG00000024413,0,0,2.5012829269950196,1.9203788726607904,0.8688711180340825,3.2564237334025776,10.3658447164958,1532.4623403833107,338
ENSMUSG00000024462,0,0,1.6942649189919508,0.8023283688664595,0,0.9906206987149977,9.76870741127792,640.2580383554347,491
ENSMUSG00000024614,0,1.3397695431233176,3.2181998313774254,4.424233966491045,4.5411698689653655,7.556871853742502,10.0071358412407,3530.5387052598535,95
ENSMUSG00000024620,0,0,2.6416993809466267,1.6323951250242763,0,1.701209230138125,10.2741731403244,1302.6513097693726,433
ENSMUSG00000024621,0,0.43935595066215843,2.6376837404341065,2.113491547418016,1.3071394734831299,2.2126010641435574,10.5228401563137,1686.566254839577,194
ENSMUSG00000024670,0,0,0.90292071058791,0.283185491931783,0,0,8.19836650877149,225.98202256156281,645
ENSMUSG00000024673,0,0,0.3472084610102644,0.10827320136957086,0,0,2.49683183384457,86.40201469291755,712
ENSMUSG00000024887,0,0,1.5917856980159053,0.6285193849397414,0,0.5965318380669893,9.40519808262919,501.5584691819136,576
ENSMUSG00000025008,0,0,2.7974359770821464,1.8487548199944497,0.2960934627013855,1.9688799482676451,9.56030084281944,1475.3063463555707,397
ENSMUSG00000025020,0,0,0.43261892746107616,0.08999780754774249,0,0,6.10093663325013,71.8182504230985,746
ENSMUSG00000025089,0,0,0.6264274976770143,0.16143479214476494,0,0,8.40251533726664,128.82496413152242,695
ENSMUSG00000025351,0,1.78065345755038,3.1909032245960476,4.897823054113357,5.40362664227176,7.760022761832042,11.7059130796855,3908.462797182459,42
ENSMUSG00000025780,0,0,2.731321047125107,2.29453854357968,1.322811343959445,2.552465160839695,10.1764386830231,1831.0417577765847,205
ENSMUSG00000025790,0,1.0171326106898624,3.1538371369804,3.5245507044882327,2.158681280167925,6.774714212172027,10.3486611324678,2812.5914621816096,119
ENSMUSG00000025809,0,5.802980511969755,2.4366352776383597,7.10499868783779,7.894689829721275,8.907226215349688,11.0349887780619,5669.788952894556,6
ENSMUSG00000025969,0,0,0.6754287222786794,0.3376790847797367,0,0.5907820964230618,5.88082021052094,269.4679096542299,574
ENSMUSG00000025986,0,0,3.071942607389562,3.026721024897318,1.63055236847944,6.167752333132928,9.53296176584625,2415.32337786806,216
ENSMUSG00000026012,0,0,0.9291331430235253,0.27009975237210265,0,0,9.86089470953253,215.53960239293792,651
ENSMUSG00000026072,0,0,2.230209268243203,1.2658890391202136,0,1.3608145397262477,9.41110578488974,1010.1794532179304,440
ENSMUSG00000026073,0,0,0.9185436842835613,0.3715647357083278,0,0,8.56366188200563,296.5086590952456,609
ENSMUSG00000026285,0,0,0.6896853722630818,0.07969236643921936,0,0,10.8067205079345,63.59450841849705,769
ENSMUSG00000026395,0,3.645830319252165,2.8451579988347366,6.236445652817931,7.036509935869205,8.603975614124668,11.1157569338167,4976.683630948709,12
ENSMUSG00000026566,0,0,1.5936320059319249,0.7127585447439702,0,0.8791444931462671,9.142199884725,568.7813187056882,518
ENSMUSG00000026576,0,0,0.9681566380679791,0.2912830126250747,0,0,8.7381535004528,232.44384407480965,651
ENSMUSG00000026581,0,1.9238885483449326,3.7398750144896993,5.110420085568627,3.5111977818686197,9.141321787108676,12.5638626781455,4078.1152282837647,37
ENSMUSG00000026656,0,0.40765479744876776,3.136359042691035,2.6980309307711354,1.319036605486995,3.9465208481277028,10.4104270800978,2153.028682755366,197
ENSMUSG00000026748,0,0.5622548756671938,1.5621003566610123,1.411424977820107,1.180633163360075,1.808560998514895,9.56113229259769,1126.3171323004453,187
ENSMUSG00000026770,0,0,0.3193981729543931,0.1017088518534013,0,0,2.15531220900598,81.16366377901424,713
ENSMUSG00000026814,0,4.8070996451463515,2.6228044954039573,6.69086436428566,7.66118967084586,8.719596962900653,11.3990310503931,5339.309762699957,4
ENSMUSG00000026836,0,0,1.3463792139036705,0.9467639385193797,0.7275376964002824,1.3454864975819274,8.77361032147754,755.517622938465,332
ENSMUSG00000026837,0,0,3.34119823649339,2.815302138884854,1.2471728096037649,6.242196536990128,10.7507105173179,2246.6111068301134,268
ENSMUSG00000026923,0,0,2.4017838299768854,1.8641707200471744,0.9944986438661549,2.29272313999903,9.48479604144523,1487.6082345976454,283
ENSMUSG00000027087,0,0,2.1205592927263712,1.7519927946440381,1.11405732337881,1.9720501986434749,10.1754803075115,1398.0902501259422,216
ENSMUSG00000027111,0,1.1369114984051276,3.0335210611602457,3.723517767669923,2.4742782844496203,6.772202583438093,10.5582071886568,2971.3671786005984,99
ENSMUSG00000027130,0,1.6171409014678977,2.917449731936622,4.350557020785101,4.57531633204691,7.073306537446737,10.1541758126724,3471.744502586511,91
ENSMUSG00000027312,0,0.8595085922666362,3.006588050928367,3.416585341968633,2.11835863379898,6.404856976638443,10.3513983489387,2726.435102890969,137
ENSMUSG00000027340,0,0,2.1866219908144204,1.7929910302140941,1.2143111424293,2.1548202385955877,9.59053337568082,1430.8068421108471,230
ENSMUSG00000027366,0,3.1874199177740574,2.877380671550955,5.992998023366554,6.8535541714591695,8.43160075457436,10.6538872058668,4782.41242264651,18
ENSMUSG00000027376,0,0,0.30279358267840445,0.0547922093594019,0,0,5.74705390938401,43.724183068802716,757
ENSMUSG00000027408,0,0,1.431020608512559,0.54428107951143,0,0.6256672137538337,9.16717539970847,434.33630145012114,568
ENSMUSG00000027435,0,2.026011743931455,3.4064259073442056,5.054419040119718,3.93462423313037,8.43266674754529,12.0180493375468,4033.426394015535,32
ENSMUSG00000027611,0,0,1.3139459139425105,0.6822513805610425,0,0.9365747336114842,8.66343476134202,544.4366016877119,474
ENSMUSG00000027642,1.77444528515721,8.579358213633387,1.794918949993737,9.074506070596323,9.5582030827207,10.226605558122776,11.7059910045083,7241.455844335866,0
ENSMUSG00000027750,0,0,0.3124071467548492,0.09919947321353537,0,0,2.21205659006677,79.16117962440121,713
ENSMUSG00000027863,0,0,0.3644381484476973,0.03035715048347793,0,0,9.62854254063248,24.225006085815387,780
ENSMUSG00000027962,0,0,1.1211854882217684,0.6751891201137029,0,1.05098556496716,9.58394818153277,538.8009178507349,420
ENSMUSG00000027995,0,0,1.758513682941714,0.7358070656226146,0,0.7573584690085507,9.07320645090086,587.1740383668464,562
ENSMUSG00000028019,0,0,0.4144272065229077,0.15970794844430075,0,0,2.87134446441837,127.44694285855199,674
ENSMUSG00000028184,0,0.864803121863712,2.9144455583660287,3.187125118940533,1.9740490235022952,5.88749723555102,10.0595963893952,2543.3258449145455,141
ENSMUSG00000028347,0,0,0.24322261757949729,0.06212090239177838,0,0,1.73437878202266,49.57248010863915,742
ENSMUSG00000028469,0,0,1.1335324751730336,0.35039384074383406,0,0,8.18844358051046,279.6142849135796,650
ENSMUSG00000028476,0,0,1.3569046770741502,0.5504523982995617,0,0.738889048935158,8.85612981706582,439.26101384305025,546
ENSMUSG00000028639,6.00753436338226,9.658683213513271,1.087020439958715,10.314158244151333,10.4568103600285,11.165667616053476,12.3186723689071,8230.698278832764,0
ENSMUSG00000028641,0,0,2.70875690568025,1.8052100538549065,0,2.0751245506042073,10.0635698216245,1440.5576229762155,406
ENSMUSG00000028645,0,0,2.5619506091390183,1.6040093760889946,0,1.623102311378225,9.46455528703473,1279.9994821190176,408
ENSMUSG00000028766,0,0,0.4970430788576272,0.1877534645974046,0,0,7.77962524834343,149.82726474872888,650
ENSMUSG00000028965,0,0,0.689550996899655,0.24230090053943318,0,0,8.77551916180502,193.35611863046768,636
ENSMUSG00000029070,0,0,0.8727121486652499,0.43983374220808524,0,0.8047150830525908,8.39011307316558,350.98732628205204,523
ENSMUSG00000029082,0,0,0.5319999936048566,0.11404114516224767,0,0,9.21014196657817,91.00483383947363,726
ENSMUSG00000029090,0,0,1.8225080847236514,0.8193048241037572,0,0.8007114061830896,9.20015810410844,653.8052496347982,535
ENSMUSG00000029093,0,0,0.6248090667367564,0.27848673092685,0,0,7.36984131331031,222.2324112796263,605
ENSMUSG00000029156,0,0,2.688837421974685,1.6922862323086851,0.4847460483867565,1.6851326748209625,9.58528191502589,1350.4444133823308,388
ENSMUSG00000029163,0,1.273978198571875,3.366975729234603,4.538251802862698,4.34234076255974,7.923020615037178,10.4703749771902,3621.5249386844325,89
ENSMUSG00000029338,0,0,2.074051381037131,1.3355021883104699,0.6488266913398855,1.5858757162176076,9.79340091517948,1065.730746271755,362
ENSMUSG00000029386,0,0,1.2769222448206181,0.5178634242020661,0,0.6740803108844597,8.6713249890688,413.25501251324874,559
ENSMUSG00000029767,0,3.725755700376015,2.915561786763832,6.409352567877249,7.6445830854576755,8.735051045202535,11.1663618206384,5114.663349166045,11
ENSMUSG00000030054,0,0,2.8112697163908673,1.8441440201313448,0.5678484907158394,1.981838127281685,10.2931729703493,1471.6269280648132,384
ENSMUSG00000030062,0,7.975886254078195,1.9570019237642071,8.560493939193062,9.102244121682396,9.888074906592632,11.8219306860139,6831.274163476063,2
ENSMUSG00000030077,0,0,0.4795358910295759,0.1859428022121862,0,0,5.49077456037726,148.38235616532458,662
ENSMUSG00000030084,0,0,1.6753166309208696,0.6123760515964696,0,0,8.56026562662731,488.67608917398275,649
ENSMUSG00000030117,0,0.88740667470469,3.51455682952856,3.99580178683018,2.222167134861345,7.71266957187095,10.1679058196636,3188.6498258904835,146
ENSMUSG00000030124,0,0,1.7847659977223087,0.8443840916857939,0,0.9883519203729649,10.5249250529532,673.8185051652636,485
ENSMUSG00000030336,0.845691721344845,5.2243111521982,2.327609411022046,7.181615548957785,7.047535689142141,9.255280668573628,11.8888784183384,5730.929208068313,0
ENSMUSG00000030577,0,0,0.5394100361929691,0.16816757022687961,0,0,7.65402100959026,134.19772104104993,675
ENSMUSG00000030605,0,0.8383536374934409,3.1414540806908895,3.326684084881136,1.85183129627913,6.86050285787351,9.70989196272026,2654.6938997351467,140
ENSMUSG00000030683,0,0,0.6167625671101493,0.2030136327232595,0,0,8.19411433433674,162.0048789131611,662
ENSMUSG00000030724,0,0,0.496483467611529,0.11560715392805761,0,0,10.1763938497407,92.25450883458997,721
ENSMUSG00000030745,0,0,2.6641736805753755,2.1165116567156703,1.14097604787752,2.524438112849875,10.9344181044916,1688.9763020591051,251
ENSMUSG00000030748,0,0,2.556209845421076,1.8638961657094053,0.9363959043374219,2.135984002413205,9.75166285063843,1487.3891402361055,299
ENSMUSG00000030754,0,3.0962209459155874,2.882439537290462,6.024700889958044,7.07820055663786,8.418136496286019,10.7410802286579,4807.711310186519,17
ENSMUSG00000030772,0,0,0.3865124984277464,0.057933779111177676,0,0,9.02429728269485,46.231155730719784,759
ENSMUSG00000030786,0,0.6849116623217173,1.9116643114942409,1.7831826132229014,1.4350177436023501,2.1252354749192626,9.71198483247428,1422.9797253518752,182
ENSMUSG00000030830,0,0.6780287447118493,3.2741797253659466,3.523706264213892,2.247692174707685,6.803436843121415,10.1864803851621,2811.9175988426855,176
ENSMUSG00000031021,0,2.9786219490571697,2.7720653664803834,5.478460683333199,6.08081956591472,7.992840056906568,10.5957169270482,4371.8116252998925,13
ENSMUSG00000031170,0,1.52372002946848,3.7357667915012533,4.518923562168589,3.086889923068065,8.728250201529569,11.760685372182,3606.101002610534,98
ENSMUSG00000031342,0,0,0.9124272733803959,0.3893635262930115,0,0.62799704277696,9.65665337310069,310.71209398182316,561
ENSMUSG00000031375,0,0,0.7421047258677649,0.22905282602707572,0,0,8.31896184721648,182.78415516960644,661
ENSMUSG00000031647,0,0,0.9751826180137046,0.2931285469450153,0,0,9.35086666208119,233.91658046212217,655
ENSMUSG00000031703,0,2.07880084946654,3.05925437795196,5.155967843885336,5.744125757836615,7.900332567555521,10.6318187122842,4114.462339420498,52
ENSMUSG00000031785,0.905444323247471,7.589917955005178,2.0525025015017357,8.689973352818539,9.02660881623737,10.278655458421774,12.48786585038,6934.598735549194,0
ENSMUSG00000031835,0,1.6930588353124074,3.0956724902331474,4.753071391223744,5.5599091673674295,7.591427132000499,10.2163991649928,3792.9509701965485,77
ENSMUSG00000031934,0,0,3.075345761077375,2.945381024838626,1.528471808200385,5.810509510125717,9.72680210819852,2350.4140578212237,216
ENSMUSG00000031990,0,0,0.9436483229426773,0.3358038179038722,0,0,8.27474144253322,267.97144668729004,614
ENSMUSG00000032193,0,1.3855619723390424,2.4891144732312056,3.0114404533007844,2.09684129030193,4.056704095078755,10.6201304411642,2403.129481734026,65
ENSMUSG00000032231,0,1.3502707355424775,3.3383176929427876,4.145113678266524,2.57994007026313,7.726687921523633,10.7568137534942,3307.800715256686,73
ENSMUSG00000032336,0,2.7932987654897072,3.0214053785002664,6.027659772739812,7.330602754469449,8.575702866575629,10.8960120845212,4810.072498646369,12
ENSMUSG00000032340,0,0,0.5350962606003403,0.18789243841850017,0,0,6.76602899233973,149.93816585796313,668
ENSMUSG00000032412,0,7.537933229850527,2.040423268458595,7.941422734954162,8.52695171987169,9.209972345099919,11.1163375710074,6337.255342493421,1
ENSMUSG00000032440,0,0,2.9519427468489194,2.486519589426834,1.18014023457847,4.802646782503542,9.76886309657577,1984.2426323626134,280
ENSMUSG00000032816,0,0,0.802185637968218,0.4354789796440892,0,0.8051785376127658,8.27191478974093,347.5122257559832,505
ENSMUSG00000032913,0,0,2.699363610507462,2.3476809138209083,1.234443530460175,4.3688289031549825,9.94153751716663,1873.4493692290848,254
ENSMUSG00000033777,0,0,0.3883719940000409,0.14626499498172799,0,0,3.24581268671778,116.71946599541894,681
