gene_id,SRX028958_spl7_suf,SRX028959_spl7_def,SRX028962_spl7_suf,SRX028963_spl7_def
AT1G01740,45,3,67,55
AT1G01750,7,3,232,151
AT1G01760,9,2,21,40
AT1G01770,127,24,164,210
AT1G01780,92,20,388,388
AT1G01790,623,53,221,181
AT1G01800,487,88,272,386
AT1G01810,21,4,40,14
AT1G01820,393,92,709,1010
AT1G01830,183,33,148,153
AT1G01840,27,4,15,22
AT1G01860,57,3,54,59
AT1G01870,0,0,0,0
AT1G01880,19,7,32,34
AT1G01890,0,0,0,0
AT1G01900,61,4,57,68
AT1G01910,241,57,250,299
AT1G01920,121,32,142,194
AT1G01930,91,20,87,150
AT1G01940,79,11,152,140
AT1G01950,139,29,231,239
AT1G01960,455,94,539,653
AT1G01970,140,39,78,79
AT1G01980,6,2,18,34
AT1G01990,150,29,162,190
AT1G02000,77,15,172,170
AT1G02010,72,30,67,101
AT1G02020,114,26,66,92
AT1G02030,21,6,30,40
AT1G02040,7,4,16,23
AT1G02050,43,3,78,132
AT1G02060,14,3,34,40
AT1G02065,32,9,36,61
AT1G02067,0,0,1,2
AT1G02070,14,3,30,34
AT1G02080,446,151,520,642
AT1G02090,178,31,184,224
AT1G02100,248,57,372,581
AT1G02110,141,19,147,164
AT1G02120,543,101,558,747
AT1G02130,278,64,381,436
AT1G02140,707,182,913,828
AT1G02145,166,38,166,191
AT1G02150,378,49,148,173
AT1G02160,123,30,81,115
AT1G02170,192,44,276,308
AT1G02180,42,9,65,48
AT1G02190,13,1,21,41
AT1G02205,626,126,56,96
AT1G02210,1,0,3,3
AT1G02220,60,78,232,364
AT1G02230,11,15,22,15
AT1G02250,2,0,7,15
AT1G02260,245,63,170,235
AT1G02270,305,101,118,138
AT1G02280,449,121,208,210
AT1G02290,85,29,67,62
AT1G02300,397,65,149,214
AT1G02305,1134,307,917,1259
AT1G02310,28,19,21,17
AT1G02320,0,0,0,3
AT1G02330,226,41,290,295
AT1G02335,111,42,319,524
AT1G02340,56,14,39,90
AT1G02350,8,2,11,4
AT1G02360,12,16,215,132
AT1G02370,55,14,72,123
AT1G02380,33,8,25,35
AT1G02390,68,42,31,35
AT1G02400,16,10,104,98
AT1G02405,3,1,9,9
AT1G02410,201,37,128,133
AT1G02420,2,2,8,7
AT1G02430,9,5,97,81
AT1G02440,10,1,39,54
AT1G02450,51,29,7,12
AT1G02460,51,16,29,61
AT1G02470,62,43,8,17
AT1G02475,437,117,54,84
AT1G02480,0,0,0,0
AT1G02490,4,2,2,5
AT1G02500,1540,319,5101,5343
AT1G02510,2,3,8,20
AT1G02520,29,6,233,390
AT1G02530,14,9,30,52
AT1G02540,2,1,4,14
AT1G02550,2,0,8,15
AT1G02560,2180,335,323,391
AT1G02570,9,4,37,19
AT1G02575,8,5,14,20
AT1G02580,9,6,21,44
AT1G02590,2,1,1,1
AT1G02600,0,0,1,0
AT1G02610,112,29,159,203
AT1G02620,14,4,17,33
AT1G02630,10,4,32,30
AT1G02640,34,5,262,408
AT1G02650,11,1,21,27
AT1G02660,92,23,45,103
AT1G02670,15,3,31,51
AT1G02680,128,34,129,173
AT1G02690,58,11,186,156
AT1G02700,9,1,13,13
AT1G02705,0,1,5,2
AT1G02710,5,0,6,3
AT1G02720,94,22,107,54
AT1G02730,203,18,225,110
AT1G02740,142,56,133,118
AT1G02750,105,49,204,256
AT1G02760,0,0,0,0
AT1G02770,10,3,14,24
AT1G02780,4136,902,4393,3930
AT1G02790,10,5,21,24
AT1G02800,44,6,26,35
AT1G02810,17,3,173,113
AT1G02813,14,6,9,4
AT1G02816,89,22,98,132
AT1G02820,81,25,8,18
AT1G02830,0,0,0,9
AT1G02840,680,176,1513,1697
AT1G02850,223,63,47,192
AT1G02860,127,29,568,968
AT1G02870,114,35,241,261
AT1G02880,313,80,190,207
AT1G02890,333,73,460,531
AT1G02900,10,6,799,639
AT1G02910,264,58,127,125
AT1G02920,608,690,1080,2312
AT1G02930,2831,1800,646,1973
AT1G02940,29,8,8,12
AT1G02950,36,5,157,101
AT1G02952,4,0,8,1
AT1G02960,154,45,107,147
AT1G02965,1,2,6,17
AT1G02970,19,1,40,46
AT1G02980,35,3,34,41
AT1G02990,137,42,199,246
AT1G03000,161,34,127,178
AT1G03010,55,10,114,74
AT1G03020,10,3,21,15
AT1G03030,143,35,81,145
AT1G03040,286,81,379,463
AT1G03050,10,12,20,35
AT1G03055,43,16,3,18
AT1G03060,291,67,574,700
AT1G03070,19,6,41,39
AT1G03080,507,186,671,930
AT1G03090,160,44,519,1260
AT1G03100,43,6,36,69
AT1G03103,2,1,2,8
AT1G03106,5,4,13,24
AT1G03110,65,14,147,126
AT1G03120,1,1,7,6
AT1G03130,5996,758,35,72
AT1G03140,346,51,464,514
AT1G03150,92,29,115,113
AT1G03160,280,43,102,100
AT1G03165,2,0,4,1
AT1G03170,27,7,36,52
AT1G03180,27,11,41,56
AT1G03190,80,18,86,96
AT1G03200,9,4,2,8
AT1G03210,188,45,499,459
AT1G03220,218,165,2154,2642
AT1G03230,52,26,349,227
AT1G03240,15,2,14,22
AT1G03250,178,35,169,193
AT1G03260,96,14,92,76
AT1G03270,30,10,31,40
AT1G03280,173,52,144,235
AT1G03290,514,201,363,408
AT1G03300,6,0,0,6
AT1G03310,598,116,59,84
AT1G03320,4,0,4,6
AT1G03325,1,0,0,0
AT1G03330,175,58,250,312
AT1G03340,68,23,49,82
AT1G03350,223,52,221,288
AT1G03360,50,13,71,59
