gene_id,SRX028958_spl7_suf,SRX028959_spl7_def,SRX028962_spl7_suf,SRX028963_spl7_def
AT1G52660,12,1,67,58
AT1G52670,225,40,192,161
AT1G52680,4,4,6,9
AT1G52690,72,171,19,31
AT1G52695,9,4,15,9
AT1G52700,62,3,33,75
AT1G52710,110,30,644,833
AT1G52720,172,57,807,910
AT1G52730,164,42,172,193
AT1G52740,720,163,1772,1923
AT1G52750,16,6,132,98
AT1G52760,402,85,1141,1053
AT1G52770,81,20,7,25
AT1G52780,275,75,256,229
AT1G52790,10,2,90,29
AT1G52800,36,4,263,83
AT1G52810,3,0,8,11
AT1G52820,46,11,398,93
AT1G52825,54,14,53,82
AT1G52827,35,7,1,14
AT1G52830,8,0,10,13
AT1G52855,53,39,5,10
AT1G52857,7,0,6,8
AT1G52860,0,0,0,0
AT1G52870,692,125,32,25
AT1G52880,73,29,27,40
AT1G52890,175,228,13,104
AT1G52900,3,0,14,14
AT1G52905,86,35,76,116
AT1G52910,51,13,103,85
AT1G52920,27,7,12,17
AT1G52930,144,51,330,251
AT1G52940,1,1,5,4
AT1G52950,3,0,12,26
AT1G52970,8,6,5,7
AT1G52980,417,79,564,478
AT1G52990,4,3,7,20
AT1G53000,254,50,303,278
AT1G53010,1,0,1,6
AT1G53023,2,1,3,16
AT1G53025,45,12,99,117
AT1G53030,89,55,159,208
AT1G53035,132,25,79,118
AT1G53040,180,32,190,185
AT1G53050,220,48,155,193
AT1G53060,18,3,6,15
AT1G53070,158,24,35,28
AT1G53080,11,2,8,8
AT1G53090,94,28,45,48
AT1G53100,120,24,31,22
AT1G53110,127,31,44,110
AT1G53120,118,38,79,73
AT1G53130,4567,1201,3960,1254
AT1G53140,44,4,70,51
AT1G53160,120,27,30,17
AT1G53163,9,6,23,19
AT1G53165,105,34,129,133
AT1G53170,101,26,29,55
AT1G53180,34,10,203,293
AT1G53190,197,43,228,271
AT1G53200,63,16,87,113
AT1G53210,1657,245,1206,1240
AT1G53220,0,0,0,0
AT1G53230,210,47,52,52
AT1G53233,44,7,15,32
AT1G53240,1564,218,1444,969
AT1G53250,56,12,38,38
AT1G53260,8,1,18,18
AT1G53265,0,0,3,4
AT1G53270,18,8,36,47
AT1G53280,514,106,351,286
AT1G53282,0,0,2,5
AT1G53285,4,5,3,4
AT1G53290,119,9,118,105
AT1G53300,228,47,176,106
AT1G53310,1681,372,733,646
AT1G53320,465,92,394,492
AT1G53325,5,0,3,7
AT1G53330,32,3,51,65
AT1G53340,13,1,91,101
AT1G53345,21,9,50,49
AT1G53350,54,7,82,74
AT1G53360,3,2,7,14
AT1G53366,0,0,2,1
AT1G53370,7,3,18,17
AT1G53380,140,42,210,247
AT1G53390,159,41,234,291
AT1G53400,275,74,166,132
AT1G53410,0,0,0,0
AT1G53420,15,3,27,25
AT1G53430,232,58,442,731
AT1G53440,199,35,108,120
AT1G53450,289,58,155,229
AT1G53460,104,22,52,79
AT1G53470,48,34,104,66
AT1G53480,3,0,22,12
AT1G53490,23,1,40,53
AT1G53500,523,112,233,196
AT1G53510,365,59,407,421
AT1G53520,119,14,41,40
AT1G53530,44,11,78,74
AT1G53540,3,0,0,8
AT1G53541,1,0,2,1
AT1G53542,7,5,6,6
AT1G53550,4,0,10,14
AT1G53560,111,38,65,109
AT1G53570,225,70,336,381
AT1G53580,1273,362,734,1031
AT1G53590,255,66,278,299
AT1G53600,22,9,50,47
AT1G53610,0,0,19,13
AT1G53620,3,3,15,10
AT1G53625,14,14,40,53
AT1G53633,0,1,34,74
AT1G53635,0,2,113,130
AT1G53640,7,1,43,52
AT1G53645,118,27,107,176
AT1G53650,91,26,73,103
AT1G53655,2,0,3,5
AT1G53660,21,4,90,83
AT1G53670,503,96,76,107
AT1G53680,20,8,166,48
AT1G53683,0,1,0,3
AT1G53687,0,0,5,0
AT1G53690,4,0,3,24
AT1G53700,21,2,24,31
AT1G53705,2,0,7,3
AT1G53708,3,1,25,7
AT1G53710,138,34,179,158
AT1G53720,112,32,99,99
AT1G53730,121,9,197,138
AT1G53750,1201,288,1226,1141
AT1G53760,112,38,164,197
AT1G53770,70,33,115,132
AT1G53780,573,212,582,1094
AT1G53790,71,27,106,103
AT1G53800,258,29,139,153
AT1G53801,18,10,22,0
AT1G53815,0,3,9,8
AT1G53820,4,0,12,8
AT1G53830,5,0,159,52
AT1G53840,295,50,312,301
AT1G53850,425,90,431,388
AT1G53860,14,8,32,16
AT1G53870,31,0,0,44
AT1G53875,46,8,1,0
AT1G53880,66,6,199,164
AT1G53885,159,0,86,164
AT1G53887,9,6,11,27
AT1G53890,168,45,26,0
AT1G53900,117,40,31,86
AT1G53903,69,33,183,147
AT1G53910,1259,315,3001,3566
AT1G53920,55,16,75,93
AT1G53930,1,1,10,6
AT1G53935,3,0,16,27
AT1G53940,9,0,456,304
AT1G53945,1,1,4,7
AT1G53950,1,2,13,23
AT1G53970,4,4,16,25
AT1G53980,1,0,12,16
AT1G53990,4,3,129,162
AT1G54000,44,22,2210,2877
AT1G54010,49,16,97,83
AT1G54020,61,12,15,21
AT1G54030,597,160,409,501
AT1G54040,159,15,23,24
AT1G54050,62,13,26,39
AT1G54060,135,33,241,257
AT1G54070,5,1,4,11
AT1G54080,837,203,757,804
AT1G54090,174,46,238,279
AT1G54095,6,2,63,91
AT1G54100,1416,577,816,2414
AT1G54110,72,11,64,81
AT1G54115,127,28,210,207
AT1G54120,18,7,36,26
AT1G54130,916,237,335,399
AT1G54140,75,23,88,83
AT1G54150,128,30,115,157
AT1G54160,97,21,33,43
AT1G54170,201,88,259,393
AT1G54180,38,6,47,42
AT1G54200,80,18,32,101
AT1G54210,147,73,219,233
AT1G54215,9,1,3,23
AT1G54217,93,30,108,93
AT1G54220,194,35,99,120
AT1G54230,18,1,27,18
AT1G54240,5,2,16,9
AT1G54250,139,30,212,193
AT1G54260,90,29,63,116
AT1G54270,800,232,782,619
AT1G54280,63,27,116,137
AT1G54290,199,61,98,114
AT1G54300,2,1,4,10
AT1G54310,96,18,76,74
AT1G54320,526,119,1076,1116
AT1G54330,10,3,28,32
AT1G54340,256,64,173,236
AT1G54350,207,37,55,43
AT1G54355,73,10,4,9
AT1G54360,269,40,277,357
AT1G54370,276,71,312,354
AT1G54380,76,24,104,143
AT1G54385,55,16,52,69
AT1G54390,225,77,238,298
AT1G54400,2,2,16,10
AT1G54410,9928,2101,9488,10025
AT1G54420,1,1,0,3
AT1G54440,118,34,81,124
AT1G54445,5,2,2,9
AT1G54450,43,21,64,79
AT1G54460,202,56,478,672
AT1G54470,11,1,24,25
AT1G54475,3,1,5,8
AT1G54490,240,60,303,304
AT1G54500,751,115,40,62
AT1G54510,115,17,194,188
AT1G54520,634,153,130,214
AT1G54530,8,3,35,40
AT1G54540,10,5,30,23
AT1G54550,4,0,18,19
AT1G54560,16,12,51,58
AT1G54570,217,59,82,141
AT1G54575,321,180,24,53
AT1G54580,779,191,942,729
AT1G54590,4,1,11,7
AT1G54610,255,61,266,340
AT1G54620,4,4,5,19
AT1G54630,609,176,820,713
AT1G54640,1,1,5,5
AT1G54650,66,16,60,69
AT1G54670,0,0,0,0
AT1G54680,38,10,60,80
AT1G54690,243,47,339,293
AT1G54700,0,0,5,2
AT1G54710,128,44,240,269
AT1G54720,0,0,2,1
AT1G54730,163,59,220,242
AT1G54740,62,21,89,92
AT1G54760,0,0,0,5
AT1G54770,120,32,106,104
AT1G54773,7,0,9,7
AT1G54775,1,0,0,0
AT1G54780,3655,567,13,14
AT1G54790,113,38,92,81
AT1G54820,225,50,32,32
AT1G54830,233,67,153,214
AT1G54840,20,2,19,33
AT1G54850,86,16,61,93
AT1G54860,7,3,6,32
AT1G54870,5,1,19,14
AT1G54890,15,3,220,271
AT1G54920,328,63,355,367
AT1G54930,13,2,19,27
AT1G54940,9,3,26,40
AT1G54950,0,1,481,295
AT1G54953,3,0,4,9
AT1G54957,1,3,3,2
AT1G54960,44,13,65,70
AT1G54970,10,2,9,52
AT1G54980,3,0,1,4
AT1G54990,235,65,140,153
AT1G55000,361,90,194,225
AT1G55010,2,3,10,17
AT1G55020,173,69,238,3099
AT1G55030,5,3,20,40
AT1G55040,29,13,44,65
AT1G55050,28,8,31,47
AT1G55060,0,0,4,37
AT1G55070,4,3,13,8
AT1G55080,73,21,98,116
AT1G55090,318,65,256,281
AT1G55110,252,66,86,113
AT1G55120,165,43,138,145
AT1G55130,166,40,117,103
AT1G55140,206,35,71,39
AT1G55150,91,15,119,143
AT1G55152,79,22,74,172
AT1G55160,191,35,449,428
AT1G55170,32,12,57,47
AT1G55175,3,0,12,7
AT1G55180,50,13,105,137
AT1G55190,100,28,336,230
AT1G55200,40,4,42,29
AT1G55205,17,4,75,43
AT1G55207,6,2,8,13
AT1G55210,360,97,374,327
AT1G55220,3,0,4,2
AT1G55230,11,8,16,16
AT1G55240,7,5,48,35
AT1G55250,186,45,165,209
AT1G55260,329,56,28,22
AT1G55265,26,7,13,7
AT1G55270,134,28,90,118
AT1G55280,93,18,42,67
AT1G55290,5,2,32,10
AT1G55300,95,18,117,109
AT1G55310,233,74,459,534
AT1G55320,87,22,158,134
AT1G55325,178,53,259,301
AT1G55330,171,29,695,309
AT1G55335,4,0,0,0
AT1G55340,226,48,190,156
AT1G55350,265,66,344,489
AT1G55360,665,97,577,625
AT1G55365,6,1,48,65
AT1G55370,170,35,37,42
AT1G55380,16,4,53,51
AT1G55390,7,3,39,70
AT1G55420,9,3,61,102
AT1G55430,6,2,88,58
AT1G55440,9,3,26,25
AT1G55450,407,106,715,644
AT1G55460,119,29,109,169
AT1G55475,104,18,113,120
AT1G55480,1020,180,14,26
AT1G55490,1756,260,212,165
AT1G55500,244,67,189,204
AT1G55510,46,19,56,172
AT1G55520,179,34,216,323
AT1G55525,0,0,1,34
AT1G55530,246,66,357,422
AT1G55535,93,27,91,131
AT1G55540,145,24,185,209
AT1G55546,3,0,1,3
AT1G55550,38,9,28,27
AT1G55560,6,3,40,28
AT1G55570,17,5,26,38
AT1G55580,9,2,43,73
AT1G55590,81,33,121,187
AT1G55591,0,1,0,0
AT1G55600,5,1,13,22
AT1G55610,49,15,197,214
AT1G55620,126,35,133,162
AT1G55625,1,0,0,0
AT1G55630,33,4,60,78
AT1G55640,2,2,6,10
AT1G55650,3,1,27,21
AT1G55660,3,3,9,25
AT1G55670,14074,1489,8,15
AT1G55673,245,0,6,3
AT1G55675,269,78,130,198
AT1G55680,787,210,554,732
AT1G55690,182,62,137,125
AT1G55700,3,2,33,29
AT1G55710,0,0,0,0
AT1G55720,6,1,12,16
AT1G55730,110,32,232,239
AT1G55740,72,18,315,179
AT1G55750,104,27,119,144
AT1G55755,4,0,3,0
AT1G55760,167,33,163,190
AT1G55770,9,1,0,14
AT1G55775,4,7,18,47
AT1G55790,5,0,8,26
AT1G55800,5,0,14,11
AT1G55803,6,1,15,4
AT1G55805,103,25,145,209
AT1G55810,129,22,814,1029
AT1G55820,55,19,89,159
AT1G55830,104,26,112,151
AT1G55840,820,213,446,569
AT1G55850,218,82,142,346
AT1G55860,353,59,216,305
AT1G55865,18,2,13,23
AT1G55870,36,14,58,80
AT1G55880,103,16,199,189
AT1G55890,134,38,191,142
AT1G55900,136,23,93,158
AT1G55910,148,36,80,85
AT1G55915,60,15,84,45
AT1G55917,0,0,3,4
AT1G55920,218,86,248,602
AT1G55928,7,0,18,17
AT1G55930,103,23,76,113
AT1G55940,5,2,54,47
AT1G55945,0,0,0,2
AT1G55947,3,0,3,8
AT1G55950,3,3,15,15
AT1G55960,170,29,102,149
AT1G55970,55,10,81,95
AT1G55980,4,0,1,2
AT1G55990,7,3,54,45
AT1G56000,208,35,87,94
AT1G56010,250,68,945,1450
AT1G56020,31,8,70,60
AT1G56030,9,1,10,15
AT1G56040,5,0,20,24
AT1G56045,1195,383,1192,1408
AT1G56050,173,31,50,60
AT1G56060,11,20,11,8
AT1G56070,5727,982,6225,6122
AT1G56080,31,8,125,122
AT1G56085,0,0,3,7
AT1G56090,87,16,74,135
AT1G56100,2,1,12,12
AT1G56105,2,0,0,5
AT1G56110,411,97,624,638
AT1G56120,156,55,88,134
AT1G56130,28,5,52,60
AT1G56140,70,23,551,695
AT1G56145,86,24,394,488
AT1G56150,86,19,19,8
AT1G56160,0,0,12,6
AT1G56165,30,11,20,49
AT1G56170,16,0,16,16
AT1G56180,126,24,158,184
AT1G56190,1077,161,349,332
AT1G56200,392,71,654,800
AT1G56210,31,8,97,90
AT1G56220,3322,841,3434,6380
AT1G56225,0,0,0,0
AT1G56230,227,46,373,388
AT1G56233,1,1,0,13
AT1G56240,7,2,14,33
AT1G56242,17,5,18,20
AT1G56250,8,4,16,24
AT1G56260,46,10,58,26
AT1G56270,4,1,2,11
AT1G56280,4613,1565,5857,7888
AT1G56290,34,5,46,47
AT1G56300,1156,249,118,280
AT1G56310,68,16,54,82
AT1G56320,18,7,57,56
AT1G56330,984,253,1077,913
AT1G56340,1233,368,1257,1286
AT1G56345,36,3,45,39
AT1G56350,60,16,43,67
AT1G56360,3,5,18,12
AT1G56380,4,1,14,16
AT1G56385,2,1,10,2
AT1G56400,4,1,17,18
AT1G56410,9,0,11,20
AT1G56415,6,0,5,1
AT1G56418,0,1,19,4
AT1G56420,64,17,61,55
AT1G56423,74,30,54,87
AT1G56430,245,36,46,69
AT1G56440,89,30,130,131
AT1G56450,727,178,584,570
AT1G56460,241,102,342,386
AT1G56500,375,65,67,103
AT1G56510,211,73,46,56
AT1G56520,89,27,54,55
AT1G56530,3,0,2,8
AT1G56540,38,7,84,107
AT1G56550,23,23,198,326
AT1G56553,0,1,6,5
AT1G56555,1,0,6,10
AT1G56560,154,30,152,122
AT1G56570,21,11,28,40
AT1G56580,464,107,190,126
AT1G56590,99,17,131,110
AT1G56600,771,317,27,32
AT1G56610,92,32,113,95
AT1G56612,170,42,176,189
AT1G56620,8,1,9,8
AT1G56630,9,4,50,38
AT1G56650,235,61,9,16
AT1G56660,272,193,467,473
AT1G56670,46,16,41,37
AT1G56680,10,1,93,43
AT1G56690,18,11,18,44
AT1G56700,447,89,1009,1214
AT1G56710,13,3,5,15
AT1G56720,95,22,91,148
AT1G56730,0,0,0,0
AT1G56740,0,0,0,0
AT1G56750,0,0,0,0
AT1G56760,0,0,0,0
AT1G56770,0,0,0,0
AT1G56780,0,0,0,0
AT1G56790,0,0,0,0
AT1G56800,0,0,0,0
AT1G56810,0,0,0,0
AT1G56820,0,0,0,0
AT1G56830,0,0,0,0
AT1G56840,0,0,0,0
AT1G56850,0,0,0,0
AT1G56860,0,0,0,0
AT1G56870,0,0,0,0
AT1G56880,0,0,0,0
AT1G56890,0,0,0,0
AT1G56900,0,0,0,0
AT1G56910,0,0,0,0
AT1G56920,0,0,0,0
AT1G56930,0,0,0,0
AT1G56940,0,0,0,0
AT1G56950,0,0,0,0
AT1G56960,0,0,0,0
AT1G56970,0,0,0,0
AT1G56980,0,0,0,0
AT1G56990,0,0,0,0
AT1G57000,0,0,0,0
AT1G57010,0,0,0,0
AT1G57020,0,0,0,0
AT1G57030,0,0,0,0
AT1G57040,0,0,0,0
AT1G57050,0,0,0,0
AT1G57060,0,0,0,0
AT1G57070,0,0,0,0
AT1G57080,0,0,0,0
AT1G57090,0,0,0,0
AT1G57100,0,0,0,0
AT1G57110,0,0,0,0
AT1G57120,0,0,0,0
AT1G57130,0,0,0,0
AT1G57140,0,0,0,0
AT1G57150,0,0,0,0
AT1G57160,0,0,0,0
AT1G57170,0,0,0,0
AT1G57180,0,0,0,0
AT1G57190,0,0,0,0
AT1G57200,0,0,0,0
AT1G57210,0,0,0,0
AT1G57220,0,0,0,0
AT1G57230,0,0,0,0
AT1G57240,0,0,0,0
AT1G57250,0,0,0,0
AT1G57260,0,0,0,0
AT1G57270,0,0,0,0
AT1G57280,0,0,0,0
AT1G57290,0,0,1,0
AT1G57300,0,0,0,0
AT1G57310,0,0,0,0
AT1G57320,0,0,0,0
AT1G57330,0,0,0,0
AT1G57340,0,0,0,0
AT1G57350,0,0,1,0
AT1G57360,0,0,0,0
AT1G57370,0,0,0,0
AT1G57380,0,0,0,0
AT1G57390,0,0,3,0
AT1G57400,0,0,0,0
AT1G57410,0,0,0,3
AT1G57420,0,1,0,0
AT1G57430,0,0,0,0
AT1G57440,0,0,0,0
AT1G57450,0,0,0,0
AT1G57460,0,0,0,0
AT1G57470,0,0,0,0
AT1G57480,0,0,0,4
AT1G57490,0,0,0,0
AT1G57500,0,0,0,0
AT1G57510,0,0,0,0
AT1G57520,0,0,0,0
AT1G57530,0,0,0,0
AT1G57540,126,39,124,116
AT1G57550,6,4,7,14
AT1G57560,25,3,19,21
AT1G57565,2,0,1,12
AT1G57570,10,0,27,35
AT1G57580,5,1,16,9
AT1G57590,290,118,45,30
AT1G57600,106,30,106,161
AT1G57610,163,63,108,126
AT1G57613,1,0,2,3
AT1G57620,99,27,192,177
AT1G57630,43,43,12,29
AT1G57650,18,6,27,37
AT1G57660,615,133,1218,870
AT1G57670,8,0,9,27
AT1G57680,271,49,679,720
AT1G57690,6,1,4,8
AT1G57700,58,9,97,100
AT1G57720,1672,390,2790,2471
AT1G57730,1,0,7,6
AT1G57750,16,2,21,20
AT1G57760,9,4,9,2
AT1G57765,147,40,341,280
AT1G57770,191,46,20,20
AT1G57775,1,0,3,2
AT1G57777,0,2,7,9
AT1G57780,6,2,8,18
AT1G57790,82,30,49,40
AT1G57800,6,1,17,17
AT1G57820,60,10,75,63
AT1G57830,1,1,5,9
AT1G57835,7,1,6,16
AT1G57850,5,0,3,22
AT1G57860,437,75,511,398
AT1G57870,351,61,203,221
AT1G57906,3,2,12,6
AT1G57943,10,1,10,17
AT1G57980,38,15,130,102
AT1G57990,135,63,154,268
AT1G58007,22,7,37,60
AT1G58025,158,23,125,156
AT1G58030,523,126,574,976
AT1G58037,14,4,46,42
AT1G58050,19,8,63,79
AT1G58055,0,0,4,5
AT1G58060,149,27,104,161
AT1G58070,27,4,122,156
AT1G58080,561,100,489,524
AT1G58090,11,2,18,13
AT1G58100,151,35,483,541
AT1G58110,163,42,581,782
AT1G58120,14,4,39,32
AT1G58150,5,2,15,7
AT1G58160,14,4,22,6
AT1G58170,21,7,64,66
AT1G58180,332,143,301,587
AT1G58190,26,14,132,238
AT1G58200,354,80,155,173
AT1G58210,51,21,69,82
AT1G58215,29,6,30,41
AT1G58220,70,12,85,120
AT1G58223,25,0,27,31
AT1G58225,143,132,16,62
AT1G58230,266,50,260,315
AT1G58235,402,122,695,836
AT1G58242,1,0,2,3
AT1G58245,0,0,0,1
AT1G58248,1,0,2,2
AT1G58250,265,79,233,301
AT1G58260,9,6,27,35
AT1G58265,0,1,0,3
AT1G58270,277,62,456,326
AT1G58280,164,21,141,128
AT1G58290,2061,281,410,438
AT1G58300,10,1,14,16
AT1G58310,7,1,6,16
AT1G58320,4,0,27,30
AT1G58330,2,0,25,25
AT1G58340,31,17,150,121
AT1G58350,210,56,184,171
AT1G58360,1264,301,86,104
AT1G58370,39,7,210,304
AT1G58380,258,71,387,365
AT1G58390,34,8,24,20
AT1G58400,34,10,99,134
AT1G58410,18,4,175,195
AT1G58420,37,9,28,29
AT1G58430,9,2,6,20
AT1G58440,90,27,138,135
AT1G58450,1,2,12,8
AT1G58460,9,1,19,16
AT1G58470,45,27,76,136
AT1G58520,203,60,98,64
AT1G58525,1,1,0,0
AT1G58590,133,47,42,51
AT1G58602,671,224,65,64
AT1G58643,0,1,23,0
AT1G58684,0,0,0,0
AT1G58725,7,0,13,31
AT1G58766,0,1,0,0
AT1G58807,418,85,43,0
AT1G58808,7,7,34,52
AT1G58848,234,106,9,25
AT1G58936,0,0,0,0
AT1G58983,2060,533,2601,2303
AT1G59030,0,1,0,0
AT1G59077,0,0,0,0
AT1G59124,427,109,0,49
AT1G59171,0,0,0,0
AT1G59218,193,11,16,24
AT1G59312,9,0,0,33
AT1G59359,0,0,10,0
AT1G59406,0,0,0,0
AT1G59453,4,0,33,25
AT1G59460,3,0,3,10
AT1G59470,7,0,5,35
AT1G59500,3,1,17,15
AT1G59510,27,6,31,39
AT1G59520,185,56,197,199
AT1G59530,3,0,0,6
AT1G59540,34,7,83,62
AT1G59550,4,1,13,5
AT1G59560,44,7,54,45
AT1G59570,0,0,0,0
AT1G59580,252,77,423,384
AT1G59590,42,49,248,133
AT1G59600,158,45,103,129
AT1G59610,578,162,571,667
AT1G59620,193,37,74,86
AT1G59630,4,0,7,6
AT1G59640,61,29,35,34
AT1G59650,118,54,203,273
AT1G59660,61,11,63,97
AT1G59670,7,4,6,10
AT1G59675,1,0,7,5
AT1G59680,3,0,7,20
AT1G59690,1,0,6,8
AT1G59700,203,42,9,35
AT1G59710,215,49,225,328
AT1G59720,24,3,26,37
AT1G59722,1,0,14,6
AT1G59723,0,0,5,5
AT1G59724,3,0,5,2
AT1G59725,2,1,32,34
AT1G59730,4,3,71,52
AT1G59740,216,33,106,405
AT1G59750,374,76,258,249
AT1G59760,183,42,245,209
AT1G59780,24,9,118,171
AT1G59790,1,2,20,11
AT1G59800,6,0,6,8
AT1G59810,0,1,0,3
AT1G59820,190,42,278,267
AT1G59830,377,63,405,521
AT1G59833,2,0,0,3
AT1G59835,3,1,2,13
AT1G59840,173,35,47,45
AT1G59850,15,0,7,22
AT1G59860,4,1,18,10
AT1G59865,4,4,7,18
AT1G59870,3696,1043,3338,5311
AT1G59880,0,0,0,0
AT1G59885,2,0,7,5
AT1G59890,122,46,168,182
AT1G59900,1174,212,928,1161
AT1G59910,136,47,202,262
AT1G59920,7,2,0,0
AT1G59930,6,1,8,12
AT1G59940,9,1,60,52
AT1G59950,4,0,13,11
AT1G59960,162,36,488,431
AT1G59970,60,9,53,85
AT1G59980,149,28,155,155
AT1G59990,106,40,71,106
AT1G60000,443,71,26,46
AT1G60010,431,109,149,189
AT1G60025,1,0,0,0
AT1G60030,23,6,63,59
AT1G60040,10,1,5,7
AT1G60050,17,1,103,75
AT1G60060,47,15,22,30
AT1G60070,286,61,359,335
AT1G60072,1,0,0,1
AT1G60073,0,0,0,2
AT1G60080,83,22,119,106
AT1G60090,4,1,10,24
AT1G60095,8,4,203,203
AT1G60110,7,10,147,173
AT1G60130,11,4,67,53
AT1G60140,499,79,1668,2247
AT1G60160,329,69,86,97
AT1G60170,375,61,460,535
AT1G60190,128,47,19,37
AT1G60200,444,130,559,611
AT1G60220,278,75,180,202
AT1G60230,89,7,75,90
AT1G60240,11,0,16,17
AT1G60250,2,1,7,13
AT1G60260,292,59,21,11
AT1G60270,123,21,42,32
AT1G60280,4,0,15,8
AT1G60300,4,0,12,4
AT1G60320,4,1,9,9
AT1G60340,3,0,3,13
AT1G60350,3,1,3,10
AT1G60360,12,1,47,29
AT1G60370,1,2,12,5
AT1G60380,3,1,9,7
AT1G60390,45,3,168,153
AT1G60400,4,0,10,21
AT1G60410,7,0,19,23
AT1G60420,466,123,590,595
AT1G60430,150,34,121,184
AT1G60440,107,27,124,164
AT1G60450,10,2,10,10
AT1G60460,8,8,17,29
AT1G60470,17,19,109,157
AT1G60490,298,71,334,325
AT1G60500,3,1,18,24
AT1G60505,86,21,75,80
AT1G60525,91,28,35,76
AT1G60530,0,0,5,6
AT1G60545,79,10,131,116
AT1G60550,293,43,46,70
AT1G60560,76,13,72,71
AT1G60570,7,1,13,17
AT1G60580,0,0,0,0
AT1G60590,191,34,150,47
AT1G60600,162,22,19,21
AT1G60610,147,33,156,176
AT1G60620,62,24,132,144
AT1G60625,3,0,3,2
AT1G60630,65,10,62,42
AT1G60640,153,49,105,143
AT1G60650,143,21,149,192
AT1G60660,71,20,120,106
AT1G60670,84,12,172,180
AT1G60680,49,5,1187,1465
AT1G60690,109,14,52,44
AT1G60700,54,6,54,49
AT1G60710,413,82,467,481
AT1G60720,9,2,5,20
AT1G60730,89,94,97,303
AT1G60740,8,5,41,85
AT1G60750,2,2,3,8
AT1G60760,1,3,7,14
AT1G60770,110,22,144,163
AT1G60780,573,177,540,531
AT1G60783,6,4,15,15
AT1G60787,3,2,50,37
AT1G60790,212,29,67,57
AT1G60800,284,57,270,275
AT1G60810,143,22,470,357
AT1G60815,1,0,0,0
AT1G60820,0,0,0,0
AT1G60830,13,2,34,25
AT1G60840,0,0,0,0
AT1G60850,95,32,120,130
AT1G60860,138,16,163,171
AT1G60870,313,71,123,212
AT1G60880,2,1,3,17
AT1G60890,173,47,112,127
AT1G60900,480,137,497,494
AT1G60910,0,0,0,0
AT1G60913,0,0,0,0
AT1G60920,2,0,6,4
AT1G60930,35,11,34,71
AT1G60940,649,178,402,566
AT1G60950,7017,824,196,142
AT1G60960,106,17,165,158
AT1G60970,9,2,5,20
AT1G60980,2,0,6,14
AT1G60983,0,1,0,2
AT1G60985,1,3,7,3
AT1G60986,0,1,3,2
AT1G60987,1,2,5,7
AT1G60989,117,22,292,755
AT1G60990,120,25,73,112
AT1G60995,178,48,211,220
AT1G61000,62,13,56,71
AT1G61010,188,54,245,232
AT1G61020,0,0,0,0
AT1G61030,97,23,97,133
AT1G61040,185,37,258,301
AT1G61050,5,1,138,84
AT1G61060,1,0,9,12
AT1G61065,56,7,47,44
AT1G61070,0,2,8,10
AT1G61080,14,4,123,163
AT1G61090,2,0,4,5
AT1G61093,8,0,2,5
AT1G61095,0,0,4,4
AT1G61097,3,1,3,5
AT1G61100,266,64,335,296
AT1G61105,7,1,12,1
AT1G61110,6,0,7,12
AT1G61120,29,37,35,26
AT1G61130,7,4,16,16
AT1G61140,217,113,396,396
AT1G61150,327,76,341,326
AT1G61160,8,0,5,0
AT1G61165,0,0,0,1
AT1G61170,37,15,41,40
AT1G61180,229,93,196,217
AT1G61190,414,107,67,84
AT1G61200,2,2,1,2
AT1G61210,151,34,171,211
AT1G61215,20,8,50,66
AT1G61224,0,0,9,2
AT1G61226,1,1,0,4
AT1G61230,4,2,21,28
AT1G61240,128,24,112,85
AT1G61250,1014,364,1594,2092
AT1G61255,5,0,6,15
AT1G61260,36,25,47,55
AT1G61270,4,3,11,26
AT1G61275,3,1,4,4
AT1G61280,20,7,36,27
AT1G61290,6,3,24,22
AT1G61300,172,38,16,37
AT1G61310,66,26,64,83
AT1G61320,12,2,11,20
AT1G61330,7,3,11,22
AT1G61340,62,28,50,62
AT1G61350,82,27,76,76
AT1G61360,53,28,344,546
AT1G61370,46,24,146,245
AT1G61380,198,61,60,71
AT1G61390,8,3,35,65
AT1G61400,22,3,46,62
AT1G61410,5,3,12,24
AT1G61415,31,14,25,44
AT1G61420,27,8,74,47
AT1G61430,55,20,48,97
AT1G61440,15,6,39,34
AT1G61450,10,2,16,7
AT1G61460,19,10,32,32
AT1G61470,17,4,24,26
AT1G61475,2,0,1,10
AT1G61480,8,4,93,76
AT1G61490,44,24,65,85
AT1G61500,39,12,78,79
AT1G61520,31391,2772,32,61
AT1G61540,1,0,4,16
AT1G61550,11,11,61,122
AT1G61560,38,28,223,270
AT1G61562,4,1,16,11
AT1G61563,5,4,6,6
AT1G61565,0,2,0,0
AT1G61566,2,0,6,2
AT1G61570,115,42,140,209
AT1G61575,3,3,12,9
AT1G61580,98,30,166,143
AT1G61590,5,6,567,497
AT1G61600,35,2,71,81
AT1G61610,40,11,31,56
AT1G61620,279,53,371,352
AT1G61630,5,0,9,18
AT1G61640,63,17,107,108
AT1G61660,194,44,530,430
AT1G61667,48,17,325,218
AT1G61670,349,86,221,233
AT1G61680,26,6,43,30
AT1G61688,5,0,2,9
AT1G61690,207,58,244,277
AT1G61700,0,0,5,11
AT1G61710,7,3,20,37
AT1G61720,4,1,12,6
AT1G61730,386,126,316,358
AT1G61732,1,0,0,0
AT1G61740,365,103,1661,2889
AT1G61750,2,5,246,435
AT1G61760,7,2,32,37
AT1G61770,283,38,415,366
