xenbase_gene_id,S30_C_1,S30_C_2,S30_C_3,S30_F_1,S30_F_2,S30_F_3
XB-GENE-1006757,89,126,164,136,122,131
XB-GENE-1006781,76,86,143,124,110,93
XB-GENE-1006792,399,415,489,441,498,286
XB-GENE-1006800,44,50,130,37,50,49
XB-GENE-1006818,39,25,40,52,39,23
XB-GENE-1006830,670,668,744,687,705,414
XB-GENE-1006841,354,355,536,379,411,287
XB-GENE-1006863,42,56,142,61,55,91
XB-GENE-1006876,0,0,1,0,0,4
XB-GENE-1006885,121,171,181,211,143,84
XB-GENE-1006898,212,229,398,268,242,259
XB-GENE-1006919,59,72,136,79,89,66
XB-GENE-1006936,68,43,89,63,52,63
XB-GENE-1006950,76,80,106,102,105,69
XB-GENE-1007000,267,228,453,248,275,190
XB-GENE-1007013,20,31,45,27,40,23
XB-GENE-1007026,74,145,129,136,96,120
XB-GENE-1007038,16,9,16,12,12,10
XB-GENE-1007055,157,175,249,209,216,151
XB-GENE-1007091,3,1,8,4,3,1
XB-GENE-1007116,2742,2628,7170,3707,2887,4285
XB-GENE-1007143,15,18,22,27,31,25
XB-GENE-1007158,58,76,72,93,96,40
XB-GENE-1007170,86,125,130,115,120,102
XB-GENE-1007182,0,2,1,3,1,2
XB-GENE-1007195,2,0,1,0,1,3
XB-GENE-1007210,81,118,114,129,133,86
XB-GENE-1007229,97,136,223,180,169,193
XB-GENE-1007241,198,263,254,209,297,184
XB-GENE-1007252,244,245,290,298,246,164
XB-GENE-1007263,1,0,2,0,1,21
XB-GENE-1007284,89,89,104,84,103,71
XB-GENE-1007301,292,272,266,221,297,96
XB-GENE-1007318,389,367,478,435,375,294
XB-GENE-1007351,31,30,37,30,20,27
XB-GENE-1007361,989,637,1025,850,646,566
XB-GENE-1007380,24,27,46,40,40,38
XB-GENE-1007407,38,48,51,69,48,43
XB-GENE-1007442,101,133,199,133,149,111
XB-GENE-1007455,0,0,7,1,4,1
XB-GENE-1007496,5,4,4,2,6,2
XB-GENE-1007517,28,28,39,40,35,32
XB-GENE-1007528,118,148,258,153,194,171
XB-GENE-1007550,1626,1381,1642,1790,1412,936
XB-GENE-1007563,1,1,2,2,1,1
XB-GENE-1007573,61,86,112,95,59,92
XB-GENE-1007582,15,27,81,17,17,29
XB-GENE-1007591,77,84,152,83,68,60
XB-GENE-1007605,145,153,206,134,140,88
XB-GENE-1007670,1725,1854,1945,1741,2073,803
XB-GENE-1007712,149,155,172,140,160,90
XB-GENE-1007734,1,2,11,20,8,33
XB-GENE-1007747,40,42,98,54,47,63
XB-GENE-1007890,451,550,456,386,590,279
XB-GENE-1007899,9,13,17,9,11,4
XB-GENE-1007936,1032,1091,1662,1430,1439,1288
XB-GENE-1007957,609,634,641,749,651,407
XB-GENE-1007970,8,7,8,19,5,9
XB-GENE-1007985,316,361,326,473,361,320
XB-GENE-1007998,688,867,1153,878,938,738
XB-GENE-1008024,36,111,127,93,94,113
XB-GENE-1008056,104,156,219,162,187,167
XB-GENE-1008065,62,55,99,60,56,66
XB-GENE-1008083,91,104,171,118,101,84
XB-GENE-1008117,67,69,96,79,99,68
XB-GENE-1008127,199,222,306,273,272,193
XB-GENE-1008136,50,42,64,52,31,29
XB-GENE-1008149,371,233,577,322,375,264
XB-GENE-1008320,102,87,101,113,114,75
XB-GENE-1008330,94,128,194,125,143,124
XB-GENE-1008343,581,660,1069,699,759,604
XB-GENE-1008373,0,0,0,3,0,0
XB-GENE-1008388,1,1,1,0,2,2
XB-GENE-1008405,156,185,272,173,191,126
XB-GENE-1008444,5,2,2,6,1,2
XB-GENE-1008476,24,27,38,24,31,23
XB-GENE-1008501,14,13,27,20,19,14
XB-GENE-1008542,79,95,153,128,90,110
XB-GENE-1008553,33,41,70,39,45,38
XB-GENE-1008574,287,280,354,431,341,339
XB-GENE-1008585,0,0,0,0,0,0
XB-GENE-1008599,77,77,92,71,70,37
XB-GENE-1008633,98,130,153,133,104,111
XB-GENE-1008656,76,68,94,93,85,79
XB-GENE-1008683,100,139,269,148,138,131
XB-GENE-1008693,830,826,879,833,685,457
XB-GENE-1008704,24,19,23,30,28,14
XB-GENE-1008737,217,309,445,367,317,304
XB-GENE-1008751,1033,970,1467,1256,1202,789
XB-GENE-1008764,73,51,65,74,66,36
XB-GENE-1008776,149,154,210,187,197,137
XB-GENE-1008789,481,448,438,472,413,221
XB-GENE-1008802,0,0,0,0,0,0
XB-GENE-1008815,177,189,303,239,214,213
XB-GENE-1008842,2,3,2,3,1,1
XB-GENE-1008861,1870,2469,3400,3568,3177,3242
XB-GENE-1008920,2629,2758,4481,3891,3423,3270
XB-GENE-1008948,737,766,832,1021,742,649
XB-GENE-1008957,4595,5479,4605,4617,5277,1765
XB-GENE-1008976,198,176,259,228,185,178
XB-GENE-1008989,165,175,213,190,207,138
XB-GENE-1009032,2,4,13,9,3,11
XB-GENE-1009048,78,71,124,81,49,58
XB-GENE-1009077,0,0,3,0,0,1
XB-GENE-1009094,5,4,4,5,7,4
XB-GENE-1009106,50,47,77,58,57,51
XB-GENE-1009196,0,0,0,1,0,0
XB-GENE-1009216,409,423,482,490,520,324
XB-GENE-1009237,132,215,913,207,311,491
XB-GENE-1009249,265,316,513,247,265,274
XB-GENE-1009260,2550,3282,3349,2604,3354,1607
XB-GENE-1009272,150,163,254,203,177,144
XB-GENE-1009279,191,286,371,318,328,251
XB-GENE-1009293,14,32,88,34,32,36
XB-GENE-1009310,44,19,62,34,32,43
XB-GENE-1009335,27,29,25,37,22,17
XB-GENE-1009581,21,16,12,27,15,11
XB-GENE-1009595,5,5,12,15,7,8
XB-GENE-1009610,128,107,232,151,156,118
XB-GENE-1009619,34,31,60,34,44,43
XB-GENE-1009638,5347,5448,10671,5913,5523,5679
XB-GENE-1009651,202,161,405,236,238,350
XB-GENE-1009676,403,389,745,489,416,407
XB-GENE-1009696,181,236,419,257,273,165
XB-GENE-1009705,208,228,342,245,225,207
XB-GENE-1009714,355,420,573,492,429,419
XB-GENE-1009721,246,177,361,203,304,200
XB-GENE-1009773,14,22,36,35,38,25
XB-GENE-1009783,49,70,79,82,63,46
XB-GENE-1009803,222,218,323,255,298,214
XB-GENE-1009814,108,130,154,115,129,95
XB-GENE-1009823,242,354,448,326,333,295
XB-GENE-1009853,111,108,147,142,178,115
XB-GENE-1009889,117,121,135,95,105,58
XB-GENE-1009907,94,122,144,140,130,118
XB-GENE-1009917,66,65,104,88,90,79
XB-GENE-1009929,34,35,38,42,42,37
XB-GENE-1009967,1268,1306,2542,1120,1094,1042
XB-GENE-1009978,5,7,25,12,15,20
XB-GENE-1010001,2496,2613,3457,3230,2830,2162
XB-GENE-1010024,422,528,762,541,652,503
XB-GENE-1010034,97,82,125,135,85,98
XB-GENE-1010060,126,115,142,105,103,88
XB-GENE-1010073,33,31,54,56,60,48
XB-GENE-1010155,784,771,959,827,853,608
XB-GENE-1010183,14,12,8,13,13,13
XB-GENE-1010200,82,113,151,113,120,114
XB-GENE-1010209,1,1,2,0,1,1
XB-GENE-1010220,2835,3002,2811,3045,3265,1829
XB-GENE-1010233,9,3,14,31,11,28
XB-GENE-1010249,63,79,102,83,78,72
XB-GENE-1010285,82,83,151,73,84,70
XB-GENE-1010304,14,68,73,59,44,28
XB-GENE-1010315,82,66,157,96,93,81
XB-GENE-1010341,101,105,216,112,138,101
XB-GENE-1010367,351,397,455,354,415,288
XB-GENE-1010437,78,90,176,97,109,81
XB-GENE-1010448,366,327,288,355,281,117
XB-GENE-1010464,189,208,296,224,210,195
XB-GENE-1010511,272,271,521,348,370,303
XB-GENE-1010542,160,202,285,202,191,173
XB-GENE-1010554,174,240,375,300,311,272
XB-GENE-1010569,261,286,350,253,283,193
XB-GENE-1010586,10,13,11,15,15,5
XB-GENE-1010595,40,35,74,46,56,54
XB-GENE-1010605,65,70,76,77,54,47
XB-GENE-1010618,151,165,241,224,182,168
XB-GENE-1010640,95,81,138,114,87,79
XB-GENE-1010663,0,0,0,0,0,2
XB-GENE-1010692,40,46,64,48,44,48
XB-GENE-1010711,107,115,197,112,153,118
XB-GENE-1010729,82,73,127,100,61,78
XB-GENE-1010765,372,577,1082,570,589,597
XB-GENE-1010778,71,43,79,65,28,58
XB-GENE-1010786,6,7,21,10,9,27
XB-GENE-1010823,1,4,4,3,3,1
XB-GENE-1010852,20,22,27,11,33,17
XB-GENE-1010862,129,217,326,245,250,255
XB-GENE-1010880,47,61,83,84,70,67
XB-GENE-1010893,0,0,2,0,1,0
XB-GENE-1010935,53,49,93,51,52,50
XB-GENE-1010966,27,34,47,35,30,29
XB-GENE-1010995,0,0,32,24,45,46
XB-GENE-1011022,23,28,35,41,28,32
XB-GENE-1011062,481,458,658,525,508,377
XB-GENE-1011071,30,36,62,37,39,47
XB-GENE-1011089,49,56,49,44,54,41
XB-GENE-1011119,0,1,4,0,1,1
XB-GENE-1011130,112,139,152,156,99,124
XB-GENE-1011138,36,35,48,47,41,23
XB-GENE-1011152,388,349,247,374,373,179
XB-GENE-1011176,51,44,82,47,52,44
XB-GENE-1011189,1,0,0,0,1,0
XB-GENE-1011208,46,53,70,65,80,46
XB-GENE-1011243,729,600,990,691,876,503
XB-GENE-1011251,56,68,101,65,100,81
XB-GENE-1011263,100,87,87,121,93,68
XB-GENE-1011273,15,21,30,40,28,37
XB-GENE-1011280,436,374,384,448,460,293
XB-GENE-1011289,8,13,29,22,18,28
XB-GENE-1011318,6,5,19,6,5,11
XB-GENE-1011330,4,2,7,12,3,1
XB-GENE-1011340,12,5,3,6,12,5
XB-GENE-1011364,126,110,156,136,118,96
XB-GENE-1011375,64,21,37,29,30,25
XB-GENE-1011383,221,225,303,277,281,192
XB-GENE-1011420,0,0,0,0,0,0
XB-GENE-1011443,201,191,275,218,208,156
XB-GENE-1011470,69,70,131,81,89,78
XB-GENE-1011486,253,348,324,368,311,243
XB-GENE-1011507,1,3,7,10,4,11
XB-GENE-1011516,11,8,15,20,17,11
XB-GENE-1011524,17,16,20,20,28,24
XB-GENE-1011554,98,132,164,150,188,121
XB-GENE-1011581,375,531,699,687,557,508
XB-GENE-1011592,68,86,182,113,64,106
XB-GENE-1011603,9,8,38,46,25,58
XB-GENE-1011616,48,44,70,68,61,43
XB-GENE-1011623,0,0,0,1,1,1
XB-GENE-1011632,0,0,4,3,1,4
XB-GENE-1011640,118,94,162,178,161,49
XB-GENE-1011662,0,0,0,0,0,1
XB-GENE-1011676,211,205,652,209,240,332
XB-GENE-1011692,1294,1061,1522,1103,1012,774
XB-GENE-1011702,0,1,2,0,0,2
XB-GENE-1011711,32,50,51,39,53,32
XB-GENE-1011728,156,174,272,224,190,177
XB-GENE-1011754,12,21,38,27,19,17
XB-GENE-1011778,100,108,126,116,89,77
XB-GENE-1011784,518,514,599,651,537,354
XB-GENE-1011821,70,92,121,96,103,77
XB-GENE-1011835,525,565,752,592,584,315
XB-GENE-1011855,70,88,67,117,110,67
XB-GENE-1011888,23,23,41,35,26,33
XB-GENE-1011898,6,6,11,10,5,3
XB-GENE-1011909,2,2,1,3,2,3
XB-GENE-1011940,219,203,343,230,242,205
XB-GENE-1011983,22,15,44,30,20,28
XB-GENE-1012016,0,0,0,0,0,0
XB-GENE-1012028,41,55,86,54,44,47
XB-GENE-1012061,22,42,44,37,32,35
XB-GENE-1012072,10,12,15,9,10,18
XB-GENE-1012096,217,280,298,268,331,156
XB-GENE-1012111,204,154,234,230,161,124
XB-GENE-1012139,251,151,131,177,194,72
XB-GENE-1012161,94,88,142,98,88,78
XB-GENE-1012170,87,75,129,80,85,70
XB-GENE-1012182,145,247,317,348,300,246
XB-GENE-1012216,1372,1273,2104,1352,1387,1211
XB-GENE-1012227,52,41,57,55,50,44
XB-GENE-1012242,218,264,313,267,246,136
XB-GENE-1012266,71,71,129,86,98,70
XB-GENE-1012286,62,57,141,76,92,71
XB-GENE-1012308,307,298,240,285,241,147
XB-GENE-1012350,197,199,187,245,172,124
XB-GENE-1012370,98,96,256,96,86,140
XB-GENE-1012381,11,15,42,20,17,19
XB-GENE-1012412,89,119,151,135,121,118
XB-GENE-1012424,153,116,213,185,151,116
XB-GENE-1012451,0,0,0,0,0,1
XB-GENE-1012464,51,72,64,68,57,40
XB-GENE-1012473,0,0,0,6,0,3
XB-GENE-1012486,59,59,101,95,72,68
XB-GENE-1012509,313,328,279,451,394,258
XB-GENE-1012552,4536,4433,6281,6034,5012,4777
XB-GENE-1012570,32,42,62,92,44,82
XB-GENE-1012595,556,372,425,625,336,271
XB-GENE-1012639,0,2,0,0,1,0
XB-GENE-1012650,98,104,138,112,119,100
XB-GENE-1012677,5,5,16,14,6,11
XB-GENE-1012693,409,382,320,433,421,185
XB-GENE-1012725,8,28,29,25,18,50
XB-GENE-1012738,1,0,1,0,0,2
XB-GENE-1012771,43,46,52,53,52,24
XB-GENE-1012781,0,2,0,0,0,0
XB-GENE-1012790,836,895,1144,1070,1164,671
XB-GENE-1012805,464,558,633,660,688,415
XB-GENE-1012829,0,0,1,0,1,1
XB-GENE-1012845,68,45,65,57,65,26
XB-GENE-1012867,38,48,72,60,50,39
XB-GENE-1012879,182,203,307,239,204,170
XB-GENE-1012896,364,379,444,373,411,227
XB-GENE-1012914,35,26,23,32,38,25
XB-GENE-1012927,14,14,15,18,8,3
XB-GENE-1012936,1533,1300,1769,1652,1295,896
XB-GENE-1012950,265,341,357,335,298,232
XB-GENE-1012968,1,1,3,3,2,8
XB-GENE-1012976,46,58,257,92,65,165
XB-GENE-1012987,28,21,29,28,27,15
XB-GENE-1013019,181,137,262,145,188,111
XB-GENE-1013030,91,66,88,99,57,47
XB-GENE-1013047,5,5,43,13,9,14
XB-GENE-1013062,109,87,86,102,102,55
XB-GENE-1013093,52,51,45,43,52,32
