xenbase_gene_id,S14_C_5,S14_C_6,S14_C_A,S14_F_5,S14_F_6,S14_F_A
XB-GENE-17333869,186,124,305,267,130,248
XB-GENE-17333872,479,345,627,657,283,514
XB-GENE-17333900,0,0,0,2,0,3
XB-GENE-17333920,170,169,262,211,156,167
XB-GENE-17333925,596,493,399,802,467,264
XB-GENE-17333940,0,0,2,7,2,4
XB-GENE-17333944,0,2,3,0,0,2
XB-GENE-17333954,274,299,476,439,237,328
XB-GENE-17333973,13142,7369,18081,17777,7214,23779
XB-GENE-17333977,60,50,98,107,46,82
XB-GENE-17333985,2,0,0,1,1,1
XB-GENE-17333997,46,21,113,96,18,62
XB-GENE-17333999,644,373,647,943,330,922
XB-GENE-17334005,15,23,20,29,22,24
XB-GENE-17334013,19,13,35,54,15,40
XB-GENE-17334024,163,100,145,286,93,238
XB-GENE-17334025,49,17,60,100,129,165
XB-GENE-17334048,21,8,29,42,13,37
XB-GENE-17334050,211,127,193,313,140,244
XB-GENE-17334056,54,31,74,88,33,73
XB-GENE-17334059,0,1,2,4,0,0
XB-GENE-17334060,62,45,96,98,38,72
XB-GENE-17334069,29,18,45,43,28,26
XB-GENE-17334078,56,40,81,110,41,102
XB-GENE-17334081,849,521,998,1021,479,951
XB-GENE-17334113,259,212,405,410,210,314
XB-GENE-17334114,105,59,112,143,73,104
XB-GENE-17334118,21,10,33,21,7,11
XB-GENE-17334124,0,1,0,0,0,0
XB-GENE-17334133,107,71,134,157,81,140
XB-GENE-17334134,85,38,98,130,61,170
XB-GENE-17334141,820,849,1602,1736,870,1595
XB-GENE-17334148,100,69,120,197,69,194
XB-GENE-17334149,43,41,68,72,29,63
XB-GENE-17334158,153,144,150,282,145,161
XB-GENE-17334173,4,1,6,79,23,28
XB-GENE-17334176,399,244,646,855,365,948
XB-GENE-17334177,184,86,176,298,111,204
XB-GENE-17334247,2,7,11,4,5,5
XB-GENE-17334261,91,66,163,110,54,109
XB-GENE-17334272,5,6,7,15,9,3
XB-GENE-17334276,94,79,100,150,93,70
XB-GENE-17334306,1,2,0,1,1,0
XB-GENE-17334308,1020,729,1396,1451,809,1102
XB-GENE-17334325,4,1,0,14,0,1
XB-GENE-17334329,31,30,38,60,23,33
XB-GENE-17334353,516,393,872,941,397,769
XB-GENE-17334370,3,3,4,7,2,7
XB-GENE-17334377,68,54,92,100,55,84
XB-GENE-17334380,394,220,335,559,230,364
XB-GENE-17334392,3,4,0,3,1,1
XB-GENE-17334397,3,2,9,5,1,5
XB-GENE-17334400,25,29,43,23,13,45
XB-GENE-17334416,2,2,4,2,0,2
XB-GENE-17334418,28,34,43,29,26,21
XB-GENE-17334430,8,5,17,12,4,14
XB-GENE-17334431,26,20,25,45,14,34
XB-GENE-17334438,34,18,26,39,23,27
XB-GENE-17334456,59,60,105,68,60,75
XB-GENE-17334463,684,486,482,1335,507,830
XB-GENE-17334487,45,41,82,77,41,43
XB-GENE-17334498,189,230,446,241,199,279
XB-GENE-17334500,433,376,596,734,392,418
XB-GENE-17334525,967,693,1161,1581,662,1272
XB-GENE-17334552,29,29,60,53,16,54
XB-GENE-17334556,90,74,118,144,53,99
XB-GENE-17334557,273,175,235,435,171,277
XB-GENE-17334583,164,194,525,213,247,262
XB-GENE-17334589,113,93,79,206,88,75
XB-GENE-17334604,0,0,0,0,0,0
XB-GENE-17334623,11,8,19,44,22,46
XB-GENE-17334629,1350,928,1640,1669,778,1269
XB-GENE-17334646,82,72,112,161,32,86
XB-GENE-17334650,1,0,0,1,1,1
XB-GENE-17334658,168,122,303,272,115,330
XB-GENE-17334660,208,131,178,422,178,438
XB-GENE-17334667,14,22,128,24,43,145
XB-GENE-17334669,21,29,3,12,26,0
XB-GENE-17334692,1142,624,1600,1342,600,1739
XB-GENE-17334699,3805,3425,5047,4711,2940,3934
XB-GENE-17334700,26,17,32,43,23,25
XB-GENE-17334701,38,24,36,38,20,28
XB-GENE-17334708,38,29,48,48,38,49
XB-GENE-17334740,0,0,2,4,0,2
XB-GENE-17334759,249,106,234,278,120,240
XB-GENE-17334774,0,0,0,0,0,0
XB-GENE-17334781,63,66,96,85,67,56
XB-GENE-17334793,235,131,223,465,158,333
XB-GENE-17334798,2,4,5,2,3,1
XB-GENE-17334806,441,485,667,740,457,365
XB-GENE-17334813,19,16,9,38,18,22
XB-GENE-17334821,35,36,60,95,39,93
XB-GENE-17334832,213,223,496,359,228,375
XB-GENE-17334842,148,125,170,293,96,139
XB-GENE-17334846,363,165,654,1287,405,1576
XB-GENE-17334852,195,145,285,318,130,260
XB-GENE-17334855,129,103,179,236,101,152
XB-GENE-17334862,0,0,0,0,0,0
XB-GENE-17334864,964,821,1665,1824,793,1393
XB-GENE-17334881,73,130,204,99,108,119
XB-GENE-17334903,502,263,317,657,272,338
XB-GENE-17334906,134,141,216,317,127,175
XB-GENE-17334908,30,16,34,31,14,23
XB-GENE-17334918,274,245,365,452,226,308
XB-GENE-17334924,458,463,589,711,385,476
XB-GENE-17334929,2571,2276,2981,4214,1977,2571
XB-GENE-17334932,64,69,95,103,55,94
XB-GENE-17334951,396,345,657,721,342,597
XB-GENE-17334980,89,84,111,145,86,127
XB-GENE-17334993,46,43,69,75,52,86
XB-GENE-17334998,0,0,0,2,0,0
XB-GENE-17335000,98,93,154,159,106,131
XB-GENE-17335014,300,224,413,491,211,328
XB-GENE-17335031,22,16,37,46,12,18
XB-GENE-17335037,41,38,62,79,22,61
XB-GENE-17335039,917,740,1405,1606,636,1750
XB-GENE-17335043,98,62,143,176,60,114
XB-GENE-17335048,477,479,630,897,444,680
XB-GENE-17335049,235,151,272,359,125,215
XB-GENE-17335054,920,475,1107,1463,496,1414
XB-GENE-17335073,100,71,108,140,78,113
XB-GENE-17335102,115,114,221,207,109,157
XB-GENE-17335105,210,181,213,364,126,273
XB-GENE-17335128,40,25,53,55,11,68
XB-GENE-17335135,20,19,29,29,25,34
XB-GENE-17335138,144,140,196,257,109,153
XB-GENE-17335142,586,467,799,1077,383,688
XB-GENE-17335146,5030,5799,10554,8569,4823,6807
XB-GENE-17335152,116,120,156,323,114,176
XB-GENE-17335170,47,26,123,68,23,85
XB-GENE-17335203,131,116,214,220,118,189
XB-GENE-17335205,4,5,7,13,5,6
XB-GENE-17335209,0,0,0,0,1,3
XB-GENE-17335213,259,236,436,398,301,451
XB-GENE-17335217,2,1,0,120,23,71
XB-GENE-17335245,14,4,31,17,13,18
XB-GENE-17335261,400,454,605,505,420,356
XB-GENE-17335270,2218,1422,1442,2560,1392,1455
XB-GENE-17335284,140,106,180,285,117,226
XB-GENE-17335285,1295,793,1538,1581,846,1481
XB-GENE-17335290,74,69,153,119,67,164
XB-GENE-17335295,196,122,391,283,129,298
XB-GENE-17335303,0,0,0,0,0,0
XB-GENE-17335312,0,0,0,0,0,1
XB-GENE-17335322,2,0,1,15,2,6
XB-GENE-17335325,89,69,160,172,69,217
XB-GENE-17335331,747,385,817,1147,450,1035
XB-GENE-17335348,463,431,585,619,338,422
XB-GENE-17335361,4174,4088,4489,5948,3169,3086
XB-GENE-17335366,49,58,85,92,39,57
XB-GENE-17335375,4,2,9,7,1,6
XB-GENE-17335384,96,99,116,150,81,132
XB-GENE-17335390,62,45,105,95,34,96
XB-GENE-17335393,5,3,5,1,5,3
XB-GENE-17335420,24,22,33,45,18,34
XB-GENE-17335429,0,0,3,0,0,0
XB-GENE-17335437,3,1,5,3,0,4
XB-GENE-17335446,120,44,81,139,62,166
XB-GENE-17335455,129,123,220,175,101,134
XB-GENE-17335471,449,338,694,630,328,540
XB-GENE-17335497,66,74,160,94,63,93
XB-GENE-17335499,1762,1505,2549,2685,1385,2315
XB-GENE-17335507,0,0,0,1,0,0
XB-GENE-17335514,79,43,46,99,27,43
XB-GENE-17335515,52,28,68,66,29,80
XB-GENE-17335521,169,118,304,230,142,305
XB-GENE-17335530,268,259,436,343,223,270
XB-GENE-17335551,40,29,68,64,26,55
XB-GENE-17335555,3519,3207,4463,4907,2596,3657
XB-GENE-17335563,24,3,1,159,59,247
XB-GENE-17335566,135,87,133,216,110,165
XB-GENE-17335576,10,12,9,18,6,19
XB-GENE-17335581,65,1,51,63,0,30
XB-GENE-17335585,28,24,39,55,16,31
XB-GENE-17335587,86,79,155,123,69,95
XB-GENE-17335595,49,29,71,97,32,96
XB-GENE-17335600,0,0,1,1,0,1
XB-GENE-17335605,457,451,750,965,540,800
XB-GENE-17335630,94,84,118,158,81,137
XB-GENE-17335632,33,15,25,31,11,20
XB-GENE-17335633,1,0,1,1,0,1
XB-GENE-17335634,3,1,0,2,1,1
XB-GENE-17335658,73,1,0,734,278,556
XB-GENE-17335663,146,116,167,191,106,128
XB-GENE-17335664,0,0,0,0,1,1
XB-GENE-17335669,32,24,47,61,27,49
XB-GENE-17335673,324,257,578,527,236,470
XB-GENE-17335674,57,65,139,98,62,104
XB-GENE-17335694,770,401,1255,1267,403,1407
XB-GENE-17335703,18,14,17,27,12,13
XB-GENE-17335705,135,80,441,188,154,657
XB-GENE-17335710,40,32,34,53,35,39
XB-GENE-17335711,49,63,84,88,42,72
XB-GENE-17335722,112,77,178,191,76,188
XB-GENE-17335753,260,274,548,426,237,355
XB-GENE-17335758,122,87,225,197,75,176
XB-GENE-17335783,54,44,65,99,54,156
XB-GENE-17335797,854,741,1527,1435,673,1348
XB-GENE-17335808,8,11,24,15,12,16
XB-GENE-17335830,5,0,7,16,1,26
XB-GENE-17335859,42,21,71,95,44,71
XB-GENE-17335861,71,30,36,45,19,28
XB-GENE-17335880,53,77,114,116,56,71
XB-GENE-17335881,814,884,1731,939,802,1332
XB-GENE-17335888,32,29,52,35,14,39
XB-GENE-17335891,231,114,199,341,74,186
XB-GENE-17335896,74,95,116,140,74,77
XB-GENE-17335907,228,225,435,307,219,257
XB-GENE-17335927,432,454,610,1017,401,790
XB-GENE-17335932,400,513,654,787,475,669
XB-GENE-17335943,49,71,31,0,76,37
XB-GENE-17335950,1,2,6,6,2,10
XB-GENE-17335969,191,178,256,284,159,245
XB-GENE-17335972,1,2,1,1,3,6
XB-GENE-17335976,2,3,10,1,4,6
XB-GENE-17335979,0,0,1,0,0,4
XB-GENE-17335980,218,112,317,305,160,269
XB-GENE-17336004,0,0,0,0,0,0
XB-GENE-17336011,1,0,0,0,0,1
XB-GENE-17336015,30,25,42,49,21,37
XB-GENE-17336028,797,529,1173,1226,446,1158
XB-GENE-17336086,423,378,595,537,390,467
XB-GENE-17336088,17,24,24,30,22,25
XB-GENE-17336089,59,35,110,75,39,72
XB-GENE-17336092,200,131,228,327,105,291
XB-GENE-17336098,194,103,212,252,91,235
XB-GENE-17336101,86,81,142,183,83,144
XB-GENE-17336102,649,346,784,750,393,739
XB-GENE-17336103,4,2,14,13,9,17
XB-GENE-17336121,678,264,402,670,289,559
XB-GENE-17336128,1,0,0,0,0,0
XB-GENE-17336152,1049,881,1297,1551,806,1207
XB-GENE-17336156,2366,1630,2575,3023,1430,2472
XB-GENE-17336163,108,84,141,316,104,207
XB-GENE-17336167,0,0,0,0,0,0
XB-GENE-17336169,48,32,58,69,39,73
XB-GENE-17336180,8,9,11,7,6,9
XB-GENE-17336205,0,0,0,0,0,1
XB-GENE-17336207,197,117,301,338,132,335
XB-GENE-17336209,1517,2061,3033,2696,1831,2358
XB-GENE-17336219,133,166,190,231,142,167
XB-GENE-17336220,24,45,62,34,46,51
XB-GENE-17336223,71,79,197,112,63,121
XB-GENE-17336231,24,21,55,31,21,53
XB-GENE-17336238,10,3,14,16,10,15
XB-GENE-17336248,26,17,32,44,21,30
XB-GENE-17336274,137,95,171,179,82,127
XB-GENE-17336276,58,58,147,119,41,109
XB-GENE-17336287,74,46,153,101,44,118
XB-GENE-17336310,31,33,53,70,30,52
XB-GENE-17336312,0,0,0,0,2,0
XB-GENE-17336330,57,51,100,71,43,93
XB-GENE-17336343,157,145,222,227,131,220
XB-GENE-17336349,202,242,446,499,201,381
XB-GENE-17336350,245,218,620,387,263,473
XB-GENE-17336351,0,0,4,3,1,9
XB-GENE-17336366,106,110,177,179,104,126
XB-GENE-17336377,235,231,584,550,218,490
XB-GENE-17336389,772,726,1503,1620,721,2080
XB-GENE-17336400,0,0,0,0,0,0
XB-GENE-17336410,229,179,347,344,208,335
XB-GENE-17336416,3,3,9,7,5,4
XB-GENE-17336432,1052,840,1617,1798,801,1523
XB-GENE-17336437,12,10,7,16,8,6
XB-GENE-17336439,99,81,136,132,76,115
XB-GENE-17336448,159,138,266,318,165,279
XB-GENE-17336450,43,25,71,74,30,57
XB-GENE-17336454,80,41,202,118,39,150
XB-GENE-17336458,0,0,0,0,0,0
XB-GENE-17336467,85,14,191,153,23,101
XB-GENE-17336490,319,221,348,372,350,356
XB-GENE-17336506,178,193,239,300,167,227
XB-GENE-17336519,377,362,662,652,299,432
XB-GENE-17336523,1705,1055,2024,2681,1053,2441
XB-GENE-17336528,9,5,14,12,8,12
XB-GENE-17336533,36,39,72,69,46,151
XB-GENE-17336543,228,185,133,327,146,171
XB-GENE-17336546,107,74,247,200,90,204
XB-GENE-17336559,76,69,85,135,62,100
XB-GENE-17336560,45,36,59,93,28,71
XB-GENE-17336567,296,250,341,425,228,206
XB-GENE-17336580,425,357,652,1091,455,1132
XB-GENE-17336582,14,7,11,14,4,7
XB-GENE-17336606,54,43,48,72,41,32
XB-GENE-17336613,0,0,0,0,0,0
XB-GENE-17336644,739,564,1253,1383,652,1385
XB-GENE-17336696,627,437,859,941,448,783
XB-GENE-17336716,123,123,215,196,119,179
XB-GENE-17336728,9,14,23,17,12,18
XB-GENE-17336734,0,1,0,2,0,2
XB-GENE-17336745,12,10,19,22,11,21
XB-GENE-17336758,2,0,0,0,0,0
XB-GENE-17336772,9,8,18,15,10,13
XB-GENE-17336774,265,300,503,413,304,357
XB-GENE-17336781,0,0,0,26,2,0
XB-GENE-17336783,507,457,768,845,471,780
XB-GENE-17336808,0,141,0,0,176,0
XB-GENE-17336809,756,565,1306,1141,657,1353
XB-GENE-17336814,205,219,129,329,226,99
XB-GENE-17336827,50,56,117,84,62,118
XB-GENE-17336828,476,447,848,548,462,499
XB-GENE-17336832,198,176,232,270,99,158
XB-GENE-17336842,19,20,33,42,27,41
XB-GENE-17336845,68,34,114,93,49,94
XB-GENE-17336847,174,290,433,187,336,217
XB-GENE-17336850,0,2,7,2,3,6
XB-GENE-17336854,30,23,50,51,36,47
XB-GENE-17336868,125,120,264,167,136,215
XB-GENE-17336872,1,1,2,0,0,1
XB-GENE-17336878,896,600,1463,1063,520,1230
XB-GENE-17336886,16,17,23,29,16,23
XB-GENE-17336943,264,204,415,393,190,349
XB-GENE-17336952,66,41,83,101,39,68
XB-GENE-17336957,118,89,199,158,99,138
XB-GENE-17336961,136,223,376,378,236,259
XB-GENE-17336967,364,340,553,530,319,426
XB-GENE-17336968,404,364,488,641,253,337
XB-GENE-17336974,405,271,484,557,295,402
XB-GENE-17336997,193,163,215,286,123,201
XB-GENE-17336998,1600,1303,2207,2515,1188,1990
XB-GENE-17337004,173,137,163,214,141,143
XB-GENE-17337005,591,552,867,1075,519,751
XB-GENE-17337010,240,233,307,456,236,293
XB-GENE-17337019,129,96,120,130,69,102
XB-GENE-17337050,70,46,68,127,44,87
XB-GENE-17337053,356,267,386,529,212,439
XB-GENE-17337059,226,166,268,345,162,237
XB-GENE-17337060,2,1,0,16,6,0
XB-GENE-17337069,56,37,47,97,30,56
XB-GENE-17337071,177,142,193,246,162,156
XB-GENE-17337087,0,1,0,0,0,0
XB-GENE-17337107,23,16,44,24,16,20
XB-GENE-17337112,4199,2646,6673,6214,1971,5347
XB-GENE-17337125,10,6,9,18,9,6
XB-GENE-17337132,314,318,474,711,308,491
XB-GENE-17337143,746,443,632,1348,460,853
XB-GENE-17337149,1,1,0,0,0,0
XB-GENE-17337159,64,49,90,122,52,94
XB-GENE-17337160,27,23,42,38,20,45
XB-GENE-17337162,0,0,1,4,0,0
XB-GENE-17337166,68,51,146,104,54,122
XB-GENE-17337181,361,213,443,348,220,341
XB-GENE-17337197,182,97,202,254,134,183
XB-GENE-17337207,65,82,132,123,48,110
XB-GENE-17337214,39,27,44,0,0,0
XB-GENE-17337257,82,104,110,167,102,68
XB-GENE-17337272,537,503,758,1090,570,1120
XB-GENE-17337285,121,80,157,141,114,158
XB-GENE-17337290,1745,1615,2476,2517,1400,1814
XB-GENE-17337320,60,108,191,74,91,83
XB-GENE-17337325,160,186,233,274,164,201
XB-GENE-17337337,167,108,181,185,123,165
XB-GENE-17337350,22,22,36,53,13,53
XB-GENE-17337365,1,3,3,2,5,2
XB-GENE-17337391,599,464,1102,765,580,1036
XB-GENE-17337393,19,14,23,21,11,19
XB-GENE-17337397,65,43,90,122,49,103
XB-GENE-17337401,18,11,17,22,8,24
XB-GENE-17337404,452,308,373,702,307,466
XB-GENE-17337408,38,12,41,60,17,33
XB-GENE-17337411,61,38,34,99,41,34
XB-GENE-17337420,8,2,7,5,2,4
XB-GENE-17337453,97,98,132,102,62,86
XB-GENE-17337464,323,258,565,531,223,517
XB-GENE-17337468,5642,3701,9498,7401,4038,11445
XB-GENE-17337481,4,7,6,7,5,4
XB-GENE-17337482,50,81,116,84,59,79
XB-GENE-17337487,184,45,86,191,53,205
XB-GENE-17337510,0,1,0,0,0,0
XB-GENE-17337514,0,0,0,1,0,0
XB-GENE-17337527,297,141,263,558,173,345
XB-GENE-17337556,54,68,100,166,46,108
XB-GENE-17337565,78,60,61,133,58,57
XB-GENE-17337587,13,28,37,37,27,37
XB-GENE-17337588,124,88,192,220,119,193
XB-GENE-17337590,104,87,150,182,85,163
XB-GENE-17337595,9,8,33,13,11,15
XB-GENE-17337605,170,130,239,304,112,227
XB-GENE-17337619,146,119,110,259,139,86
XB-GENE-17337621,17,7,20,24,5,15
XB-GENE-17337622,1,2,0,0,3,0
XB-GENE-17337631,43,25,37,100,24,58
XB-GENE-17337632,51,37,75,79,46,52
XB-GENE-17337633,322,427,450,482,317,260
XB-GENE-17337640,2913,1351,2489,3620,1602,3029
XB-GENE-17337654,246,145,250,380,169,311
XB-GENE-17337674,68,30,74,99,46,69
XB-GENE-17337706,18,0,5,142,82,161
XB-GENE-17337728,43,32,68,67,32,51
XB-GENE-17337733,5,17,19,5,5,6
XB-GENE-17337758,10,5,7,56,19,59
XB-GENE-17337768,162,118,171,274,116,198
XB-GENE-17337771,62,72,79,101,51,73
XB-GENE-17337782,442,317,540,674,235,481
XB-GENE-17337786,66,36,96,83,50,100
XB-GENE-17337806,102,82,156,224,66,187
XB-GENE-17337819,0,0,0,0,0,0
XB-GENE-17337823,1235,1035,1508,1878,1002,1586
XB-GENE-17337841,3,2,11,18,3,10
XB-GENE-17337851,42,31,122,56,29,54
XB-GENE-17337853,436,416,525,944,403,628
XB-GENE-17337865,505,352,431,882,382,397
XB-GENE-17337868,0,0,0,0,1,1
XB-GENE-17337869,0,0,0,13,0,0
XB-GENE-17337885,502,387,440,837,407,535
XB-GENE-17337902,0,0,0,0,0,0
XB-GENE-17337907,226,220,390,304,197,284
XB-GENE-17337913,240,306,743,357,352,377
XB-GENE-17337916,403,291,571,609,338,480
XB-GENE-17337918,14,4,34,22,9,32
XB-GENE-17337922,636,543,691,1118,435,813
XB-GENE-17337935,97,61,109,159,79,125
XB-GENE-17337946,50,29,74,78,39,92
XB-GENE-17337947,140,96,261,197,83,251
XB-GENE-17337948,358,354,628,562,295,576
XB-GENE-17337961,158,116,160,300,165,189
XB-GENE-17337968,130,119,255,254,120,240
XB-GENE-17337975,96,92,144,161,86,98
XB-GENE-17337996,15,8,14,17,7,9
XB-GENE-17338005,2692,1788,2961,3689,1808,3098
XB-GENE-17338064,320,303,519,486,265,389
XB-GENE-17338077,0,0,0,0,0,0
XB-GENE-17338121,235,169,175,437,161,295
XB-GENE-17338122,96,79,73,147,80,69
XB-GENE-17338126,36,16,41,46,18,31
XB-GENE-17338128,202,147,235,271,127,188
XB-GENE-17338130,170,101,206,253,95,269
XB-GENE-17338132,281,225,274,473,183,322
XB-GENE-17338138,21,19,48,37,19,16
XB-GENE-17338153,198,125,230,279,122,278
XB-GENE-17338159,130,92,145,237,78,148
XB-GENE-17338181,213,244,398,397,223,342
XB-GENE-17338188,35,29,57,38,23,57
XB-GENE-17338194,0,0,1,0,0,1
XB-GENE-17338213,1,10,39,11,19,47
XB-GENE-17338215,64,50,86,93,46,88
XB-GENE-17338234,112,107,181,185,101,187
XB-GENE-17338241,1167,1200,1601,1571,1148,1104
XB-GENE-17338245,227,153,289,562,165,344
XB-GENE-17338248,236,204,375,414,208,295
XB-GENE-17338252,5,4,11,5,4,7
XB-GENE-17338273,13,13,11,20,5,12
XB-GENE-17338282,902,661,1201,1248,636,1322
XB-GENE-17338286,158,98,190,168,120,219
XB-GENE-17338288,86,39,86,161,50,105
XB-GENE-17338297,1,0,1,0,0,3
XB-GENE-17338313,555,439,983,586,216,636
XB-GENE-17338323,107,116,174,166,104,128
XB-GENE-17338332,1,0,1,2,0,1
XB-GENE-17338334,18,22,25,26,17,15
XB-GENE-17338339,13,13,10,49,16,18
XB-GENE-17338353,9,4,7,7,6,9
XB-GENE-17338400,8,8,30,14,9,28
XB-GENE-17338408,0,0,2,0,1,0
XB-GENE-17338416,0,0,0,0,0,0
XB-GENE-17338417,8,15,11,20,5,2
XB-GENE-17338422,128,144,273,303,137,302
XB-GENE-17338426,0,0,0,0,0,0
XB-GENE-17338448,0,0,4,0,0,6
XB-GENE-17338461,0,0,0,0,0,0
XB-GENE-17338465,995,947,1581,1542,978,1557
XB-GENE-17338479,2,2,16,7,5,26
XB-GENE-17338491,202,284,481,395,250,286
XB-GENE-17338505,689,752,1271,1109,659,867
XB-GENE-17338506,199,139,185,246,122,182
XB-GENE-17338512,12,13,39,14,15,25
XB-GENE-17338516,0,0,0,0,0,1
XB-GENE-17338517,67,32,91,97,53,63
XB-GENE-17338543,26,24,38,38,21,47
XB-GENE-17338554,117,98,130,183,105,113
XB-GENE-17338570,262,163,453,447,182,563
XB-GENE-17338571,316,265,483,454,246,375
XB-GENE-17338579,81,53,99,112,56,124
XB-GENE-17338582,172,151,363,237,144,304
XB-GENE-17338596,229,253,316,384,193,280
XB-GENE-17338598,440,417,625,812,383,601
XB-GENE-17338599,17,4,26,18,16,12
XB-GENE-17338602,67,75,266,82,67,87
XB-GENE-17338604,771,584,1046,1209,646,1013
XB-GENE-17338607,357,235,1027,491,255,626
XB-GENE-17338608,290,186,304,524,203,335
XB-GENE-17338626,417,406,636,639,368,567
XB-GENE-17338634,1,0,1,9,8,28
XB-GENE-17338635,614,430,509,880,492,506
XB-GENE-17338642,21094,18291,44405,37269,19876,49681
XB-GENE-17338647,87,85,116,152,81,115
XB-GENE-17338650,147,85,171,247,82,230
XB-GENE-17338651,328,325,648,615,349,562
XB-GENE-17338658,271,317,431,544,304,396
XB-GENE-17338682,217,125,294,318,132,307
XB-GENE-17338686,7,7,8,14,13,9
XB-GENE-17338695,485,335,442,742,277,439
XB-GENE-17338701,4,2,6,7,0,6
XB-GENE-17338715,3232,2591,3483,5486,2348,3916
XB-GENE-17338719,248,256,473,342,272,319
XB-GENE-17338724,2064,1670,2948,3426,1744,3091
XB-GENE-17338764,0,0,0,1,2,1
XB-GENE-17338793,285,231,360,461,231,415
XB-GENE-17338794,49,27,77,75,40,51
XB-GENE-17338795,1236,1089,1444,1693,818,1177
XB-GENE-17338803,15,13,18,14,13,9
XB-GENE-17338808,198,133,305,289,122,276
XB-GENE-17338810,33,26,64,60,29,51
XB-GENE-17338826,268,197,354,467,191,372
XB-GENE-17338831,53,54,124,86,37,62
XB-GENE-17338843,806,453,710,1053,505,668
XB-GENE-17338855,165,115,183,232,97,209
XB-GENE-17338873,322,255,309,608,278,398
XB-GENE-17338876,60,66,67,98,53,80
XB-GENE-17338894,43,29,47,57,28,37
XB-GENE-17338906,18,17,30,32,19,25
XB-GENE-17338911,5,0,1,1,0,0
XB-GENE-17338915,48,44,44,55,20,45
XB-GENE-17338920,125,117,153,273,134,210
XB-GENE-17338927,0,0,1,1,0,0
XB-GENE-17338938,80,49,106,167,56,92
XB-GENE-17338948,225,150,366,262,154,289
XB-GENE-17338953,107,87,150,166,109,132
XB-GENE-17338963,1,0,1,1,0,2
XB-GENE-17338967,52,30,66,63,35,57
XB-GENE-17338978,0,0,0,3,0,0
XB-GENE-17338984,100,83,199,162,83,119
XB-GENE-17339014,9,6,10,16,7,8
XB-GENE-17339015,0,0,0,0,0,0
XB-GENE-17339016,347,229,419,438,209,375
XB-GENE-17339020,274,138,379,383,141,251
XB-GENE-17339049,362,308,446,503,294,424
XB-GENE-17339053,163,149,288,220,122,291
XB-GENE-17339056,64,52,76,95,31,75
XB-GENE-17339058,40,37,93,85,27,65
XB-GENE-17339095,202,111,192,372,95,108
XB-GENE-17339112,283,220,381,423,168,275
XB-GENE-17339120,21,10,14,18,8,36
XB-GENE-17339124,273,207,406,541,203,376
XB-GENE-17339159,0,0,0,0,0,0
XB-GENE-17339178,32,29,139,33,40,74
XB-GENE-17339211,437,351,679,773,438,554
XB-GENE-17339212,246,159,217,489,189,314
XB-GENE-17339218,58,33,83,62,33,79
XB-GENE-17339232,959,1113,1454,1209,1048,1175
XB-GENE-17339237,115,77,150,142,85,138
XB-GENE-17339243,2,1,4,3,0,1
XB-GENE-17339248,42,31,61,46,22,61
XB-GENE-17339255,343,286,556,498,281,602
XB-GENE-17339256,493,335,500,705,229,455
XB-GENE-17339269,166,111,242,257,137,316
XB-GENE-17339298,4,6,11,10,9,9
XB-GENE-17339301,114,75,113,192,82,121
XB-GENE-17339309,120,123,204,185,127,171
XB-GENE-17339313,0,0,0,0,0,0
XB-GENE-17339337,27,26,58,36,21,37
XB-GENE-17339342,499,502,1112,778,529,1092
XB-GENE-17339359,342,322,544,468,306,349
XB-GENE-17339380,79,58,113,125,40,132
XB-GENE-17339390,264,282,479,526,256,361
XB-GENE-17339405,243,172,339,398,134,233
XB-GENE-17339407,0,0,0,0,0,1
XB-GENE-17339411,20,16,28,47,13,39
XB-GENE-17339415,0,0,0,0,0,0
XB-GENE-17339417,337,227,464,402,238,286
XB-GENE-17339418,1082,645,1582,1180,662,1411
XB-GENE-17339432,65,58,139,138,54,119
XB-GENE-17339440,659,449,832,980,407,705
XB-GENE-17339441,441,247,328,902,242,530
XB-GENE-17339452,14,20,20,15,17,15
XB-GENE-17339453,416,341,647,628,325,633
XB-GENE-17339457,16,6,25,26,10,24
XB-GENE-17339465,149,119,180,171,86,153
XB-GENE-17339467,46,23,28,69,27,32
XB-GENE-17339473,237,268,509,371,274,338
XB-GENE-17339477,128,90,159,154,78,142
XB-GENE-17339491,109,68,128,256,67,223
XB-GENE-17339494,2353,1828,2723,3555,1890,2924
XB-GENE-17339498,3480,2450,4304,5843,2695,5479
XB-GENE-17339520,6,8,29,0,8,0
XB-GENE-17339521,197,125,207,400,113,245
XB-GENE-17339530,249,155,372,509,146,503
XB-GENE-17339545,132,116,120,198,48,138
XB-GENE-17339546,9,4,8,10,4,11
XB-GENE-17339547,0,1,0,2,0,0
XB-GENE-17339585,50,28,53,86,35,55
XB-GENE-17339632,0,0,4,4,0,4
XB-GENE-17339637,13,5,29,28,12,23
XB-GENE-17339638,365,156,275,735,239,567
XB-GENE-17339654,305,143,298,621,185,495
XB-GENE-17339667,1097,673,1465,1684,669,1763
XB-GENE-17339698,490,438,626,884,474,742
XB-GENE-17339715,92,72,147,136,71,140
XB-GENE-17339722,135,142,169,209,108,116
XB-GENE-17339731,0,0,0,2,1,0
XB-GENE-17339735,1,0,0,0,0,0
XB-GENE-17339740,48,45,77,63,30,71
XB-GENE-17339755,736,590,1157,817,579,775
XB-GENE-17339765,312,251,449,432,255,471
XB-GENE-17339782,104,96,174,200,69,192
