xenbase_gene_id,S14_C_5,S14_C_6,S14_C_A,S14_F_5,S14_F_6,S14_F_A
XB-GENE-1002829,532,290,664,1203,363,929
XB-GENE-1002882,385,328,625,768,304,686
XB-GENE-1002926,1027,847,1580,2162,1058,2305
XB-GENE-1002939,76,57,98,124,63,88
XB-GENE-1002951,309,277,481,430,285,373
XB-GENE-1002977,258,193,251,402,167,280
XB-GENE-1002995,0,0,0,0,1,0
XB-GENE-1003060,15,12,26,21,29,13
XB-GENE-1003095,897,872,1263,1332,847,1055
XB-GENE-1003109,100,84,114,182,64,130
XB-GENE-1003124,52,80,179,93,66,119
XB-GENE-1003133,639,600,917,968,451,646
XB-GENE-1003145,0,0,0,0,0,0
XB-GENE-1003198,0,0,1,0,6,0
XB-GENE-1003250,814,541,839,1244,470,868
XB-GENE-1003268,0,0,0,0,0,0
XB-GENE-1003294,1101,832,1569,1869,871,1945
XB-GENE-1003315,93,83,106,156,67,80
XB-GENE-1003329,822,887,1719,1354,801,1062
XB-GENE-1003347,42,30,49,47,35,27
XB-GENE-1003369,927,558,783,1492,547,638
XB-GENE-1003379,44981,29097,61723,86740,30883,52674
XB-GENE-1003391,44,35,79,62,26,61
XB-GENE-1003489,0,6,6,2,1,6
XB-GENE-1003497,71,48,111,115,69,92
XB-GENE-1003512,97,50,63,119,51,83
XB-GENE-1003523,942,815,570,1213,664,301
XB-GENE-1003548,22,16,16,26,14,10
XB-GENE-1003595,47,37,81,97,33,84
XB-GENE-1003603,117,78,117,209,74,141
XB-GENE-1003623,2773,1488,3406,4543,1449,4176
XB-GENE-1003655,264,97,288,376,107,328
XB-GENE-1003693,154,110,169,215,84,148
XB-GENE-1003715,209,171,324,342,172,302
XB-GENE-1003770,0,1,0,2,0,0
XB-GENE-1003802,115,87,152,177,83,154
XB-GENE-1003813,117,89,119,194,84,155
XB-GENE-1003873,95,66,130,191,62,177
XB-GENE-1003886,15,17,9,7,5,8
XB-GENE-1003903,748,712,1761,776,820,823
XB-GENE-1003964,240,239,372,423,269,299
XB-GENE-1003971,117,79,91,210,84,86
XB-GENE-1004025,94,68,104,164,59,111
XB-GENE-1004036,172,98,111,231,91,131
XB-GENE-1004076,0,0,0,0,0,0
XB-GENE-1004105,37,47,84,47,28,46
XB-GENE-1004114,505,459,1121,933,753,867
XB-GENE-1004132,163,102,263,196,135,182
XB-GENE-1004145,196,199,358,389,166,372
XB-GENE-1004162,422,236,422,524,256,440
XB-GENE-1004184,818,612,854,1243,568,893
XB-GENE-1004195,0,0,0,0,0,0
XB-GENE-1004218,240,178,656,629,203,522
XB-GENE-1004231,12,8,19,23,10,21
XB-GENE-1004243,417,334,653,674,345,596
XB-GENE-1004312,104,66,115,124,64,145
XB-GENE-1004339,66,68,81,102,55,85
XB-GENE-1004354,220,173,342,317,167,327
XB-GENE-1004364,227,199,390,375,190,352
XB-GENE-1004413,60,28,80,80,49,102
XB-GENE-1004425,2,3,7,8,3,6
XB-GENE-1004449,115,84,126,188,81,140
XB-GENE-1004458,55,57,114,86,43,81
XB-GENE-1004473,269,197,423,435,166,385
XB-GENE-1004592,27,37,33,65,27,65
XB-GENE-1004605,148,131,195,262,145,214
XB-GENE-1004615,190,162,296,357,154,248
XB-GENE-1004641,320,248,391,421,250,294
XB-GENE-1004666,393,235,451,602,271,523
XB-GENE-1004679,239,247,311,298,182,187
XB-GENE-1004697,127,101,80,178,74,41
XB-GENE-1004715,578,449,1033,1023,510,964
XB-GENE-1004735,236,233,377,317,173,313
XB-GENE-1004748,362,280,452,588,268,476
XB-GENE-1004762,7,5,19,12,6,8
XB-GENE-1004794,155,71,226,302,91,304
XB-GENE-1004804,367,397,590,548,353,319
XB-GENE-1004814,6,5,1,5,3,4
XB-GENE-1004836,24,26,168,31,27,106
XB-GENE-1004848,517,419,573,656,361,467
