Top,p.value,FDR,summary.logFC,logFC.hspc,ensembl_gene_id
239,0.40458496866634175,0.47399075827019116,-0.09937601747315616,-0.09937601747315616,ENSMUSG00000037344
240,0.41073175411049956,0.4791870464622495,-0.03194991213145093,-0.03194991213145093,ENSMUSG00000030683
241,0.42106781761358025,0.488741546941069,-0.11158306900098958,-0.11158306900098958,ENSMUSG00000055541
242,0.42241233699906683,0.488741546941069,-0.015307708803057861,-0.015307708803057861,ENSMUSG00000012428
243,0.4297362676403172,0.49404682353289864,0.12180009273187808,0.12180009273187808,ENSMUSG00000068747
244,0.4305265176500974,0.49404682353289864,0.07031276376867635,0.07031276376867635,ENSMUSG00000021624
245,0.46793196624763644,0.5347793899972988,-0.010463732935912072,-0.010463732935912072,ENSMUSG00000041046
246,0.47497506100583486,0.5406220206570478,-0.08453540169254792,-0.08453540169254792,ENSMUSG00000045092
247,0.49425618509618297,0.5602904122547823,0.028153021979874376,0.028153021979874376,ENSMUSG00000044827
248,0.5003215122935402,0.5648791267830293,-0.04144958106348556,-0.04144958106348556,ENSMUSG00000026073
249,0.5482341229486021,0.6164881703839702,0.09870463474071567,0.09870463474071567,ENSMUSG00000009291
250,0.5511959696977552,0.6173394860614858,0.06911082631445176,0.06911082631445176,ENSMUSG00000074272
251,0.5567717079583093,0.6210999132602653,0.08109536293011921,0.08109536293011921,ENSMUSG00000032913
252,0.5594597804047696,0.6216219782275219,-0.09756913847887816,-0.09756913847887816,ENSMUSG00000020717
253,0.5651240307500409,0.6254337099209939,0.08238520482804734,0.08238520482804734,ENSMUSG00000030054
254,0.5768757237305897,0.6359259946636422,0.04283707708633572,0.04283707708633572,ENSMUSG00000057191
255,0.5795283193152806,0.6363448212089355,-0.019530800412759675,-0.019530800412759675,ENSMUSG00000040118
