xenbase_gene_id,min,lowerq,sd,mean,median,upperq,max,total,n_zero
XB-GENE-6255699,23,46.25,25.726769456476006,55.333333333333336,51,58.75,101,332,0
XB-GENE-6255700,24,40,24.840826609971472,57.333333333333336,60,71.75,91,344,0
XB-GENE-6255701,387,528,160.09590875472117,622.5,630.5,755.5,796,3735,0
XB-GENE-6255702,0,0.25,0.752772652709081,0.8333333333333334,1,1,2,5,2
XB-GENE-6255703,154,168.25,56.08564878825955,217,216.5,263.25,284,1302,0
XB-GENE-6255704,156,174.25,54.19840096042195,217.33333333333334,218.5,244.75,298,1304,0
XB-GENE-6255705,64,78.25,16.65733071853551,87.33333333333333,87,97.25,110,524,0
XB-GENE-6255708,5,12,6.369196704975178,14.166666666666666,12.5,19,22,85,0
XB-GENE-6255709,38,45,27.1102686572204,62.166666666666664,56.5,65,113,373,0
XB-GENE-6255714,279,339,118.00579081836055,416.8333333333333,387,512.25,571,2501,0
XB-GENE-6255715,108,135.5,34.61454414934085,154.83333333333334,156.5,167,209,929,0
XB-GENE-6255716,0,0,2.857738033247041,1.1666666666666667,0,0,7,7,5
XB-GENE-6255719,37,46,23.18117051977028,62.833333333333336,58,81.25,93,377,0
XB-GENE-6255726,54,74.25,31.20256399721023,92,83,115,135,552,0
XB-GENE-6255728,28,57,51.81666398627633,88.16666666666667,87.5,97.75,178,529,0
XB-GENE-6255734,73,105.25,46.96984848460411,135.83333333333334,139.5,158.75,204,815,0
XB-GENE-6255736,0,0.5,31.029018676071598,24,14.5,33.75,79,144,2
XB-GENE-6255737,23,26.25,6.623191577077223,31.666666666666668,34,35.75,39,190,0
XB-GENE-6255738,1,1.25,1.6431676725154984,2.5,2,3.5,5,15,0
XB-GENE-6255742,576,587,120.82990799742697,671.6666666666666,629,707,890,4030,0
XB-GENE-6255743,43,47.5,19.243180610283737,63.5,61,79,88,381,0
XB-GENE-6255746,20,27.75,28.076087096792293,49.333333333333336,46.5,61.5,95,296,0
XB-GENE-6255748,327,452.5,181.2287688714644,552.6666666666666,508,670.75,814,3316,0
XB-GENE-6255749,102,122.75,53.521646711089396,157.83333333333334,140,191,240,947,0
XB-GENE-6255752,161,242.25,121.70401253313987,312.3333333333333,281,407.5,472,1874,0
XB-GENE-6255754,69,80.5,9.621157241551906,85.16666666666667,89.5,91.75,93,511,0
XB-GENE-6255755,0,0,0.5163977794943222,0.3333333333333333,0,0.75,1,2,4
XB-GENE-6255756,41,52.75,22.67156809750927,66,60,75.5,104,396,0
XB-GENE-6255759,124,127.25,29.507061301774304,151.66666666666666,145.5,171.25,194,910,0
XB-GENE-6255762,628,930.25,489.3199362380405,1284,1380,1544.75,1936,7704,0
XB-GENE-6255763,430,535.25,217.9840972792893,657.3333333333334,616.5,694,1053,3944,0
XB-GENE-6255765,37,43,19.001754304975808,55.333333333333336,52,58.75,90,332,0
XB-GENE-6255767,272,308.5,120.81680346706744,394.5,385.5,422.75,606,2367,0
XB-GENE-6255773,698,1268.75,625.1222813711463,1604.3333333333333,1598.5,1998,2441,9626,0
XB-GENE-6255778,111,161,90.32090935473727,203.66666666666666,183,209.5,373,1222,0
XB-GENE-6255781,2461,3360.75,1003.6915196745794,3830.6666666666665,3660.5,4369,5336,22984,0
XB-GENE-6255786,97,116.75,39.4432081183398,141.16666666666666,128.5,168.75,198,847,0
XB-GENE-6255787,0,0,0,0,0,0,0,0,6
XB-GENE-6255788,1,2.5,2.422120283277993,4.333333333333333,5,6,7,26,0
XB-GENE-6255790,1,2,4.400757510550504,5.166666666666667,5,5.75,13,31,0
XB-GENE-6255792,23,26.5,19.508117968339914,41.833333333333336,40,48.25,75,251,0
XB-GENE-6255794,2,3.25,3.6193922141707713,5.5,4,7.75,11,33,0
XB-GENE-6255799,1,4,2.48327740429189,4.833333333333333,4.5,6.5,8,29,0
XB-GENE-6255801,0,0,0,0,0,0,0,0,6
XB-GENE-6255805,145,147.25,37.960066736857385,180.83333333333334,175,211,229,1085,0
XB-GENE-6255807,1952,2723.75,1105.5978925450247,3380.5,3382.5,3807.25,5113,20283,0
XB-GENE-6255811,1,2,3.082207001484488,4.5,5,5.75,9,27,0
XB-GENE-6255814,7,15.5,40.64972324629038,46,35,68.75,110,276,0
XB-GENE-6255815,0,0,0,0,0,0,0,0,6
XB-GENE-6255818,92,119,68.01078345870356,161.33333333333334,154,170.25,285,968,0
XB-GENE-6255820,0,0,0,0,0,0,0,0,6
XB-GENE-6255821,473,573.25,349.85292147796434,799.3333333333334,790.5,794.75,1445,4796,0
XB-GENE-6255824,0,0,0.408248290463863,0.16666666666666666,0,0,1,1,5
XB-GENE-6255826,167,224.75,81.35354940013373,270,264,300.25,401,1620,0
XB-GENE-6255827,0,1.25,1.8618986725025255,2.3333333333333335,2,3.5,5,14,1
XB-GENE-6255831,62,84.25,29.223278392404914,100,95,116.25,144,600,0
XB-GENE-6255832,177,253.25,101.0781875579494,318,319,398.25,437,1908,0
XB-GENE-6255833,0,0,1.2649110640673518,1,0.5,1.75,3,6,3
XB-GENE-6255834,41,55.75,16.513630733427462,62.5,58.5,69.5,89,375,0
XB-GENE-6255839,144,214.25,111.78267605790562,292.1666666666667,300.5,392,400,1753,0
XB-GENE-6255840,1,2,5.636192568273964,4.833333333333333,2.5,4.5,16,29,0
XB-GENE-6255841,3,4.5,4.412104562073146,7.666666666666667,7,9.5,15,46,0
XB-GENE-6255842,0,1.25,1.6020819787597222,2.1666666666666665,2,3.5,4,13,1
XB-GENE-6255844,48,63.25,29.606868572455728,84.16666666666667,83.5,104.5,122,505,0
XB-GENE-6255845,133,209.5,104.00080127896452,271.1666666666667,256,353.5,402,1627,0
XB-GENE-6255849,18,23,8.612007121842542,26.833333333333332,24.5,27.5,43,161,0
XB-GENE-6255850,0,1.25,1.4142135623730951,2,2,2.75,4,12,1
XB-GENE-6255853,111,204,96.94826799209291,245.83333333333334,223.5,313.5,376,1475,0
XB-GENE-6255854,63,91.25,44.75451560084934,116.83333333333333,103,153.75,174,701,0
XB-GENE-6255863,12,15.5,27.849596047339716,35,22,51.75,79,210,0
XB-GENE-6255864,5,8.25,3.559026084010437,10.333333333333334,11,13,14,62,0
XB-GENE-6255865,58,84,50.24108544474996,123.16666666666667,134,155.5,183,739,0
