xenbase_gene_id,min,lowerq,sd,mean,median,upperq,max,total,n_zero
XB-GENE-962830,32,43.75,17.61438805825132,55.666666666666664,56.5,70,75,334,0
XB-GENE-962842,95,107.5,24.77633279294308,119.33333333333333,112,121.75,166,716,0
XB-GENE-962859,7,9.75,3.687817782917155,12,12,14.25,17,72,0
XB-GENE-962870,80,106.25,43.79497688091638,138,139.5,174.25,188,828,0
XB-GENE-962881,13,24.5,19.166811593654973,34.833333333333336,32.5,38.25,69,209,0
XB-GENE-962892,175,193.5,44.445097217428454,228.16666666666666,230,266.5,274,1369,0
XB-GENE-962901,32,37.75,13.470956412470002,46.333333333333336,41.5,56.5,65,278,0
XB-GENE-962914,71,76.75,24.459490319028863,97.33333333333333,98,109.5,134,584,0
XB-GENE-962923,45,57.75,44.39256694537949,96.5,102,128.25,150,579,0
XB-GENE-962933,31,61.75,39.92367718534955,83.5,75.5,116.25,132,501,0
XB-GENE-962942,75,80,26.807959017177467,97.33333333333333,83.5,116.25,136,584,0
XB-GENE-962955,61,75.75,31.309742892588563,98.5,101.5,110,147,591,0
XB-GENE-962969,47,77.25,34.93231550680067,96.66666666666667,99,113.25,147,580,0
XB-GENE-962985,64,97.5,33.952908564657605,116,119,143.5,152,696,0
XB-GENE-963004,2,3,3.03315017762062,5,4,6.5,10,30,0
XB-GENE-963016,52,64,34.236919643371344,91.16666666666667,89,114,139,547,0
XB-GENE-963026,18,20.75,12.192894105447921,30.666666666666668,30,36.25,50,184,0
XB-GENE-963032,31,39.25,26.097254006248754,62.666666666666664,68.5,85,88,376,0
XB-GENE-963042,969,1089.25,362.87849206035895,1373,1322.5,1649.5,1854,8238,0
XB-GENE-963073,77,89,21.863211109075447,103,99.5,114.5,137,618,0
XB-GENE-963086,167,204.5,113.4731980102203,283.1666666666667,243,376,434,1699,0
XB-GENE-963106,19,21.75,16.428633540255255,33.5,29.5,38,63,201,0
XB-GENE-963116,119,136.5,45.29311941859014,167.33333333333334,152.5,203,229,1004,0
XB-GENE-963138,6,7.25,2.280350850198276,9,9.5,11,11,54,0
XB-GENE-963192,941,1157.25,386.1243323076131,1426,1430,1642.75,1975,8556,0
XB-GENE-963220,153,186.25,108.3229738636577,264.6666666666667,237,327.5,434,1588,0
XB-GENE-963245,369,421.25,145.0757273518443,533.1666666666666,514.5,637,733,3199,0
XB-GENE-963256,179,208.5,85.21658680483904,267.6666666666667,251,302.5,411,1606,0
XB-GENE-963284,133,172.75,75.16226890313162,220.83333333333334,222,238.25,348,1325,0
XB-GENE-963291,52,62.25,28.715268876795612,84.16666666666667,80,105.25,123,505,0
XB-GENE-963302,168,185.25,69.6304531078177,244,246,280.5,347,1464,0
XB-GENE-963308,119,187.75,96.93588946652663,253.83333333333334,267,314.75,378,1523,0
XB-GENE-963314,21,61.75,43.88811532370315,82.16666666666667,81.5,96.75,152,493,0
XB-GENE-963319,20,23.5,13.914021704740868,34,32,39.75,57,204,0
XB-GENE-963360,58,66.75,19.551641022345585,79.33333333333333,74,90.25,110,476,0
XB-GENE-963393,215,217.5,43.977266854592045,250,230,277,319,1500,0
XB-GENE-963406,57,66.25,29.850739800994326,87.66666666666667,83,99,138,526,0
XB-GENE-963418,99,114,43.83795919824127,142.83333333333334,138,150,222,857,0
XB-GENE-963451,55,77,35.13402908862005,103,109.5,130.75,140,618,0
XB-GENE-963463,9507,11509,4336.147229972709,15045,16534.5,17455.25,20098,90270,0
XB-GENE-963480,169,207.25,90.91901157990372,283.6666666666667,312,349.25,375,1702,0
XB-GENE-963493,51,63.25,80.9528669453199,110.83333333333333,86.5,109.75,268,665,0
XB-GENE-963504,21,22.75,15.244671200127604,37,38.5,49.75,53,222,0
XB-GENE-963526,478,618.5,345.17164812114373,912.3333333333334,989.5,1161,1304,5474,0
XB-GENE-963565,1255,1414.25,600.1424553109592,1855.1666666666667,1692,2205.25,2794,11131,0
XB-GENE-963588,46,98,68.62482543997228,128.83333333333334,116.5,144,249,773,0
XB-GENE-963608,22,26.25,14.288690166235206,37.833333333333336,37.5,49.5,54,227,0
XB-GENE-963634,290,333.5,150.0125550301263,453.8333333333333,448.5,529,685,2723,0
XB-GENE-963666,5,6,2.160246899469287,7.333333333333333,6.5,9.25,10,44,0
XB-GENE-963692,68,81.75,39.24113487995303,116.66666666666667,129.5,144.25,158,700,0
XB-GENE-963734,236,273.5,139.34226446655254,378.6666666666667,361.5,435.25,609,2272,0
XB-GENE-963751,20,23.5,14.31665696546043,34.166666666666664,33,38,59,205,0
XB-GENE-963792,495,612.25,386.74457548447486,790.1666666666666,634.5,774.5,1551,4741,0
XB-GENE-963828,313,355,231.19205580353895,501.1666666666667,417,554,926,3007,0
XB-GENE-963842,150,169.75,61.64873613194894,220.16666666666666,216.5,271.5,294,1321,0
XB-GENE-963855,705,874.25,573.8016207714998,1351.5,1324.5,1774.75,2106,8109,0
XB-GENE-963867,765,847.25,354.46071714648434,1130,1112.5,1278,1698,6780,0
XB-GENE-963879,129,138.5,91.36246494047761,186.5,157,169.5,370,1119,0
XB-GENE-963896,281,295,97.0010309223567,360,342,364.25,544,2160,0
XB-GENE-963904,365,415.75,159.05816546156944,526.5,497.5,588.25,792,3159,0
XB-GENE-963916,72,92.5,52.822974799481585,137.33333333333334,146.5,175,200,824,0
XB-GENE-963927,339,474,304.0925297778074,721.6666666666666,772,943.25,1072,4330,0
XB-GENE-963944,94,111,43.36665385600631,145.66666666666666,145,177.5,202,874,0
XB-GENE-963954,36,55.75,26.507860469428056,73.66666666666667,77.5,93.25,104,442,0
XB-GENE-963966,24,29,21.481775221491045,45.333333333333336,43.5,52,82,272,0
XB-GENE-964023,68,95,32.54944956011801,116.33333333333333,131.5,135,148,698,0
XB-GENE-964035,1,3.5,5.316640543300503,6.666666666666667,5.5,8.25,16,40,0
XB-GENE-964252,464,581.75,340.0110292328765,878.5,954,1131.25,1251,5271,0
XB-GENE-964278,27,38,12.227019260637483,43.5,41,50,62,261,0
XB-GENE-964326,140,163.75,83.82939023198647,239.16666666666666,253,310,326,1435,0
XB-GENE-964346,236,277,132.02222035197963,365.6666666666667,357,380.75,605,2194,0
XB-GENE-964357,63,84.5,25.779190574311418,96.83333333333333,95,104.75,139,581,0
XB-GENE-964366,308,378.5,141.29354785929422,482.3333333333333,474,605.5,642,2894,0
XB-GENE-964379,1348,1550,643.4340422037574,2128.1666666666665,2290.5,2610.25,2820,12769,0
XB-GENE-964395,5,5.75,2.073644135332772,7.5,8,8.75,10,45,0
XB-GENE-964413,19,31.25,15.293789589241772,41.5,47.5,51,57,249,0
XB-GENE-964449,59,93.75,23.491842555803636,97.66666666666667,97,106.25,131,586,0
XB-GENE-964462,84,99.5,57.889550006888115,150,156,195.25,215,900,0
XB-GENE-964481,31,40.25,14.851487018701752,50.833333333333336,54.5,57.5,71,305,0
XB-GENE-964538,261,323.25,205.70310320135346,496.8333333333333,499.5,645,763,2981,0
XB-GENE-964561,297,364.5,191.2910522389029,448.3333333333333,398,410.5,829,2690,0
XB-GENE-964583,381,484.75,217.59817707569763,656.8333333333334,669.5,846,893,3941,0
XB-GENE-964608,378,554.75,181.31675782085523,652.1666666666666,676,753,890,3913,0
XB-GENE-964642,27,32.25,4.875106836436168,34.833333333333336,36.5,37.75,40,209,0
XB-GENE-964653,13,15.75,5.609515724790034,19.333333333333332,19,20.75,29,116,0
XB-GENE-964673,1508,1779.5,522.7351145656852,2177,2196,2628.25,2749,13062,0
XB-GENE-964701,11,25.5,16.597188516934626,35.666666666666664,42,43.5,55,214,0
XB-GENE-964716,255,315.5,212.99859154463908,499,504.5,690.5,725,2994,0
XB-GENE-964728,125,173.75,59.55725536546044,205.33333333333334,199,237,294,1232,0
XB-GENE-964740,258,295.25,95.91819431161117,371.5,372,438.25,497,2229,0
XB-GENE-964748,559,732,536.4577957926109,1204.1666666666667,1290.5,1663.75,1751,7225,0
XB-GENE-964760,10,15.25,8.40039681602403,19.833333333333332,18,23,34,119,0
XB-GENE-964793,11,16,14.656056768449009,26,25,28.75,52,156,0
XB-GENE-964806,3,3,0.8366600265340756,3.5,3,3.75,5,21,0
XB-GENE-964816,5,8.75,4.8166378315169185,12,14,14.75,17,72,0
XB-GENE-964826,369,465.25,352.4073873610862,769.8333333333334,783,1015.25,1232,4619,0
